Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
1960,co,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,9.51935835578334,9.51935835578334,9.51935835578334,0,0,1.01948197291163,0.884777364399782,0.768747531326183,0.697276837522308,0.671909618198869,0.684124320652279,0.658983807241969,0.649230917829434,0.672496420013759,0.804562862969064,0.988284729806438,1.01948197291163,9.51935835578334
1960,co,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,1.019482,0.884777,0.768748,0.697277,0.67191,0.684124,0.658984,0.649231,0.672496,0.804563,0.988285,1.019482,9.519359
1960,co,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,B_Industry,3,02,sec02,Industry,Emissions_files,6.38447690655814,6.38440492079216,6.38447690655814,7.19857659724465e-05,0,0.51649583907062,0.52395301343699,0.55210563756324,0.542837012607775,0.52843445283074,0.54180198500315,0.521172302920104,0.514334481996385,0.532534202588322,0.551262334915353,0.542977818788872,0.51649583907062,6.38440492079217
1960,co,ie,B_Industry,,02,,Industry,NetCDF,,,,,,0.516496,0.523953,0.552106,0.542837,0.528434,0.541802,0.521172,0.514334,0.532534,0.551262,0.542978,0.516496,6.384404
1960,co,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,596.847982765386,596.832714633272,596.847982765386,0.0152681321131677,0,87.5304821295467,87.0638877419707,76.1851220160758,58.6247208986438,35.8100281685261,16.2269763312937,9.41238215554386,10.7560713072255,19.7271138118389,40.0978096071675,67.8676383358925,87.5304821295467,596.832714633272
1960,co,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,87.530482,87.063888,76.185122,58.624721,35.810028,16.226976,9.412382,10.756071,19.727114,40.09781,67.867638,87.530482,596.832714
1960,co,ie,D_Fugitive,5,04,sec04,Fugitive,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,D_Fugitive,,04,,Fugitive,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,E_Solvents,6,05,sec05,Solvents,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,E_Solvents,,05,,Solvents,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,co,ie,F_RoadTransport,7,06,sec06,RoadTransport,Emissions_files,71.0301015612393,71.0301015612393,71.0301015612393,0,0,5.55657655140752,5.66012394861858,5.75701091393806,5.84808072756744,6.03043950866648,6.19188073790455,6.21482294414676,6.18519959077486,6.15461058202447,6.06143881344826,5.81334069133371,5.55657655140751,71.0301015612382
1960,co,ie,F_RoadTransport,,06,,RoadTransport,NetCDF,,,,,,5.556577,5.660124,5.757011,5.848081,6.03044,6.191881,6.214823,6.1852,6.154611,6.061439,5.813341,5.556577,71.030105
1960,co,ie,G_Shipping,8,07,sec07,Shipping,Emissions_files,0.115849514563108,0.0258385766445932,0.0852073416502562,0.0593687650056624,0.0306421729128502,0.00124284148463187,0.00129984013899868,0.00156765431533446,0.00202901684785775,0.00262841831283529,0.00320773340465369,0.00354866325342666,0.00321799927244677,0.00245688830751592,0.00186268123296283,0.0015339985892975,0.00124284148463187,0.0258385766445933
1960,co,ie,G_Shipping,,07,,Shipping,NetCDF,,,,,,0.001243,0.0013,0.001568,0.002029,0.002628,0.003208,0.003549,0.003218,0.002457,0.001863,0.001534,0.001243,0.02584
1960,co,ie,H_Aviation,8,08,sec08,Aviation,Emissions_files,0.24477675084425,0.244775587616681,0.24477675084425,1.16322756953373e-06,0,0.0188344851286022,0.0188085233700594,0.0178253507185416,0.0171469175353946,0.0183185738854401,0.0209303913485263,0.0234643327518111,0.0248619823600543,0.0242069106776844,0.0218998023075329,0.0196438324044313,0.0188344851286022,0.24477558761668
1960,co,ie,H_Aviation,,08,,Aviation,NetCDF,,,,,,0.018834,0.018809,0.017825,0.017147,0.018319,0.02093,0.023464,0.024862,0.024207,0.0219,0.019644,0.018834,0.244775
