Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
1975,pm25,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,1.56483355041433,1.56483355041433,1.56483355041433,0,0,0.160392788877934,0.133813873292071,0.126659593040674,0.118756526795818,0.108224119588475,0.107562091889666,0.111180933576434,0.109621019191649,0.102577966320251,0.139401998045215,0.186249850918205,0.160392788877934,1.56483355041433
1975,pm25,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,0.160393,0.133814,0.12666,0.118757,0.108224,0.107562,0.111181,0.109621,0.102578,0.139402,0.18625,0.160393,1.564835
1975,pm25,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,B_Industry,3,02,sec02,Industry,Emissions_files,4.13296460000154,4.1329273580533,4.1329641402783,3.67822250022391e-05,4.59723240535759e-07,0.332739040014041,0.339822442164856,0.357750534511181,0.346709057164944,0.337356235007711,0.352855503280723,0.339947502913583,0.333868068356738,0.346196196398696,0.359857065059614,0.353086673167204,0.332739040014041,4.13292735805333
1975,pm25,ie,B_Industry,,02,,Industry,NetCDF,,,,,,0.332739,0.339822,0.357751,0.346709,0.337356,0.352856,0.339948,0.333868,0.346196,0.359857,0.353087,0.332739,4.132928
1975,pm25,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,21.0263070570379,21.0258790692255,21.0263070570379,0.000427987812333801,0,2.6290307080311,2.63212922981205,2.32647397217184,1.92531538445356,1.43988704308111,0.970527485831914,0.821443325770905,0.836730175961114,1.07153430230688,1.56421259256528,2.17956414120829,2.6290307080311,21.0258790692251
1975,pm25,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,2.629031,2.632129,2.326474,1.925315,1.439887,0.970527,0.821443,0.83673,1.071534,1.564213,2.179564,2.629031,21.025878
1975,pm25,ie,D_Fugitive,5,04,sec04,Fugitive,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,D_Fugitive,,04,,Fugitive,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,E_Solvents,6,05,sec05,Solvents,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,E_Solvents,,05,,Solvents,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,F_RoadTransport,7,06,sec06,RoadTransport,Emissions_files,1.20687880196963,1.20687880196963,1.20687880196963,0,0,0.0954881224833082,0.0975302923559871,0.0987270032662281,0.098489122723895,0.100677363745367,0.103930268486709,0.103841611291147,0.103304261152988,0.10404464695399,0.104438982618584,0.100919004408131,0.0954881224833082,1.20687880196964
1975,pm25,ie,F_RoadTransport,,06,,RoadTransport,NetCDF,,,,,,0.095488,0.09753,0.098727,0.098489,0.100677,0.10393,0.103842,0.103304,0.104045,0.104439,0.100919,0.095488,1.206878
1975,pm25,ie,G_Shipping,8,07,sec07,Shipping,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,pm25,ie,G_Shipping,,07,,Shipping,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
