Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
1985,sox,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,57.4402639007745,57.4402639007745,57.4402639007745,0,0,7.36028482153198,7.26861067306268,5.54408801074672,3.59023045878294,2.97560986692099,3.13568374862924,2.68680487766435,3.07525502295039,3.4382520665924,4.5494967147717,6.45566281758906,7.36028482153198,57.4402639007744
1985,sox,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,7.360285,7.268611,5.544088,3.59023,2.97561,3.135684,2.686805,3.075255,3.438252,4.549497,6.455663,7.360285,57.440265
1985,sox,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,B_Industry,3,02,sec02,Industry,Emissions_files,34.8016959772457,34.8013914905092,34.8016959772457,0.000304486736532735,0,2.81623477426484,2.86449156389107,2.98752374527764,2.91252115621429,2.84787831198766,2.94854449202865,2.86629512409993,2.83290633993348,2.91319266142029,3.01614007088428,2.97942847624211,2.81623477426484,34.8013914905091
1985,sox,ie,B_Industry,,02,,Industry,NetCDF,,,,,,2.816235,2.864492,2.987524,2.912521,2.847878,2.948544,2.866295,2.832906,2.913193,3.01614,2.979428,2.816235,34.801391
1985,sox,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,38.9982256680263,38.9973753265046,38.9982256680263,0.000850341521723214,0,4.39204407276089,4.41395172768547,4.14248327799873,3.50532012121945,2.75496196275215,2.25902340979576,1.95498508519085,1.9041412990323,2.29934778087549,3.07860303558822,3.90046948084492,4.39204407276089,38.9973753265051
1985,sox,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,4.392044,4.413952,4.142483,3.50532,2.754962,2.259023,1.954985,1.904141,2.299348,3.078603,3.900469,4.392044,38.997374
1985,sox,ie,D_Fugitive,5,04,sec04,Fugitive,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,D_Fugitive,,04,,Fugitive,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,E_Solvents,6,05,sec05,Solvents,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,E_Solvents,,05,,Solvents,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,sox,ie,F_RoadTransport,7,06,sec06,RoadTransport,Emissions_files,5.75289235761287,5.75289235761287,5.75289235761287,0,0,0.454150476476465,0.465186486940466,0.471022479250996,0.469292850487751,0.47961935144695,0.495091349252241,0.495387606079205,0.493066811044375,0.495599588314057,0.498150038031312,0.482174843812514,0.454150476476465,5.7528923576128
1985,sox,ie,F_RoadTransport,,06,,RoadTransport,NetCDF,,,,,,0.45415,0.465186,0.471022,0.469293,0.479619,0.495091,0.495388,0.493067,0.4956,0.49815,0.482175,0.45415,5.752891
1985,sox,ie,G_Shipping,8,07,sec07,Shipping,Emissions_files,0.0458398335360818,0.0102239193473647,0.0337152070248534,0.0234912876774884,0.0121246265112261,0.000774551722773664,0.000812136481584752,0.000863066114366904,0.000904983902716781,0.000934099105956746,0.000947822591147445,0.000929137186772047,0.000884731978190661,0.000835748211731123,0.000793999230259402,0.000769091099091381,0.000774551722773664,0.0102239193473646
1985,sox,ie,G_Shipping,,07,,Shipping,NetCDF,,,,,,0.000775,0.000812,0.000863,0.000905,0.000934,0.000948,0.000929,0.000885,0.000836,0.000794,0.000769,0.000775,0.010225
1985,sox,ie,H_Aviation,8,08,sec08,Aviation,Emissions_files,0.0561909559066082,0.0561906828862838,0.0561909559066082,2.73020324402597e-07,0,0.0039439151733086,0.00368291568362615,0.00362361909672687,0.00373704442454452,0.00424939213726557,0.00509880330653467,0.00575785233100229,0.00608687655467814,0.00600986747739487,0.00544930587405311,0.00460717565384029,0.0039439151733086,0.0561906828862837
1985,sox,ie,H_Aviation,,08,,Aviation,NetCDF,,,,,,0.003944,0.003683,0.003624,0.003737,0.004249,0.005099,0.005758,0.006087,0.00601,0.005449,0.004607,0.003944,0.056191
1985,sox,ie,I_Offroad,8,09,sec09,Offroad,Emissions_files,1.69614406122429,1.62923747418976,1.64205045880136,0.0128129846116043,0.0540936024228486,0.121349306724891,0.128650335602881,0.139134056941731,0.143626145098354,0.148147029913303,0.153497999953012,0.144860266971172,0.127946228311724,0.131608999170693,0.139121374962692,0.129946423814414,0.121349306724891,1.62923747418976
1985,sox,ie,I_Offroad,,09,,Offroad,NetCDF,,,,,,0.121349,0.12865,0.139134,0.143626,0.148147,0.153498,0.14486,0.127946,0.131609,0.139121,0.129946,0.121349,1.629235
1985,sox,ie,J_Waste,9,10,sec10,Waste,Emissions_files,0.001789289,0.001789289,0.001789289,0,0,0.000149061481990947,0.000149000166386446,0.000148976874687051,0.000148993384126209,0.000149045710647854,0.000149121967113556,0.000149193876096316,0.000149239533200714,0.000149246836258439,0.000149209275510737,0.000149138411990784,0.000149061481990947,0.001789289
1985,sox,ie,J_Waste,,10,,Waste,NetCDF,,,,,,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.000149,0.001788
