Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
2017,pmco,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,0.195608616439065,0.195608616439065,0.195608616439065,0,0,0.0239025826327633,0.0241941418468908,0.0190821216460826,0.0138605969326368,0.0115120469562627,0.0104967377452039,0.0103948589916105,0.011511333857805,0.0121121254399816,0.0146766579938968,0.0199628297631676,0.0239025826327633,0.195608616439065
2017,pmco,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,0.023903,0.024194,0.019082,0.013861,0.011512,0.010497,0.010395,0.011511,0.012112,0.014677,0.019963,0.023903,0.19561
2017,pmco,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,pmco,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,pmco,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,pmco,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,pmco,ie,B_Industry,3,02,sec02,Industry,Emissions_files,7.59037071406784,7.59036475286535,7.59036848117051,3.72830516076318e-06,2.23289733009596e-06,0.635386786458684,0.637027724587979,0.638996555397981,0.635445543407218,0.631847953922062,0.632664357218141,0.627779370242449,0.61641210379596,0.623944538664872,0.637461345818087,0.638011686893157,0.635386786458684,7.59036475286527
2017,pmco,ie,B_Industry,,02,,Industry,NetCDF,,,,,,0.635387,0.637028,0.638997,0.635446,0.631848,0.632664,0.627779,0.616412,0.623945,0.637461,0.638012,0.635387,7.590366
2017,pmco,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,0.0494117496638694,0.049407778519524,0.0494117496638694,3.97114434538501e-06,0,0.00695458321746055,0.00699281785645292,0.00599452630686098,0.00469206721910182,0.0031737098895101,0.00163615431932989,0.0010002968533125,0.00116311979229675,0.00189222960233424,0.00343756478169912,0.00551612546370536,0.00695458321746055,0.0494077785195248
2017,pmco,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,0.006955,0.006993,0.005995,0.004692,0.003174,0.001636,0.001,0.001163,0.001892,0.003438,0.005516,0.006955,0.049409
2017,pmco,ie,D_Fugitive,5,04,sec04,Fugitive,Emissions_files,0.118654433382297,0.118654433382297,0.118654433382297,0,0,0.0100493908170603,0.00992111423388122,0.0102005294787332,0.0103521127197123,0.0100734101913002,0.00977964793758466,0.0096126529165601,0.00928942913580678,0.0094659421480128,0.00985589845074854,0.0100049145358367,0.0100493908170603,0.118654433382297
2017,pmco,ie,D_Fugitive,,04,,Fugitive,NetCDF,,,,,,0.010049,0.009921,0.010201,0.010352,0.010073,0.00978,0.009613,0.009289,0.009466,0.009856,0.010005,0.010049,0.118654
2017,pmco,ie,E_Solvents,6,05,sec05,Solvents,Emissions_files,0.0141206286249999,0.0141206286249999,0.0141206286249999,0,0,0.00113855619326688,0.00113940076470799,0.00116479368138713,0.0011857620295949,0.00119469451256342,0.0012013187223515,0.00120084909922928,0.00119559717500599,0.00120159820738287,0.00119534688778879,0.00116415515845434,0.00113855619326688,0.014120628625
2017,pmco,ie,E_Solvents,,05,,Solvents,NetCDF,,,,,,0.001139,0.001139,0.001165,0.001186,0.001195,0.001201,0.001201,0.001196,0.001202,0.001195,0.001164,0.001139,0.014122
2017,pmco,ie,F_RoadTransport,7,06,sec06,RoadTransport,Emissions_files,0.878869284305465,0.878869284305465,0.878869284305465,0,0,0.0695835493439675,0.0712270514715885,0.0720760084810057,0.0717257273345611,0.0732651019537598,0.0756392513596601,0.0754299587589479,0.0749990088987924,0.0755785984888586,0.0760822917932961,0.073679187077054,0.0695835493439675,0.878869284305459
2017,pmco,ie,F_RoadTransport,,06,,RoadTransport,NetCDF,,,,,,0.069584,0.071227,0.072076,0.071726,0.073265,0.075639,0.07543,0.074999,0.075579,0.076082,0.073679,0.069584,0.87887
2017,pmco,ie,G_Shipping,8,07,sec07,Shipping,Emissions_files,0.0136321703198666,0.00304046214106363,0.0100264644812778,0.00698600234021384,0.00360570583858911,0.000218818776490154,0.000232548678411325,0.000256620857040458,0.000278619417719971,0.000290936780047628,0.000291528861125209,0.000280671920871868,0.000266937177186602,0.000250875726853148,0.000233571314508362,0.000220513854318735,0.000218818776490154,0.00304046214106361
2017,pmco,ie,G_Shipping,,07,,Shipping,NetCDF,,,,,,0.000219,0.000233,0.000257,0.000279,0.000291,0.000292,0.000281,0.000267,0.000251,0.000234,0.000221,0.000219,0.003044
2017,pmco,ie,H_Aviation,8,08,sec08,Aviation,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
