Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
2021,nmvoc,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,0.300584316221839,0.300584316221839,0.300584316221839,0,0,0.0291341068864438,0.0261078862759059,0.0255575719746249,0.0259092618055248,0.0235259746878868,0.0214029777380249,0.0230473910324225,0.024467643662901,0.0235951361600809,0.022956147674642,0.0257461114369374,0.0291341068864438,0.300584316221839
2021,nmvoc,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,0.029134,0.026108,0.025558,0.025909,0.023526,0.021403,0.023047,0.024468,0.023595,0.022956,0.025746,0.029134,0.300584
2021,nmvoc,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nmvoc,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nmvoc,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nmvoc,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nmvoc,ie,B_Industry,3,02,sec02,Industry,Emissions_files,32.9576379462787,32.9574663222326,32.9576379462787,0.000171624046092711,0,2.74282825535454,2.74125728722128,2.74048999826113,2.74176267403871,2.74545372844943,2.75023626955471,2.75377051669927,2.75405500582205,2.75167522738562,2.74815033939088,2.74495876470079,2.74282825535454,32.957466322233
2021,nmvoc,ie,B_Industry,,02,,Industry,NetCDF,,,,,,2.742828,2.741257,2.74049,2.741763,2.745454,2.750236,2.753771,2.754055,2.751675,2.74815,2.744959,2.742828,32.957466
2021,nmvoc,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,8.20285380677563,8.20260105080403,8.20285380677563,0.000252755971609701,0,0.975940217866131,0.984256480248263,0.899039992920104,0.813080933704176,0.666317804618816,0.446621843855625,0.338740960970417,0.333033731690015,0.39857914634179,0.5660013125742,0.805048408148366,0.975940217866131,8.20260105080403
2021,nmvoc,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,0.97594,0.984256,0.89904,0.813081,0.666318,0.446622,0.338741,0.333034,0.398579,0.566001,0.805048,0.97594,8.2026
