Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
2021,pm25,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,0.535168744219727,0.535168744219727,0.535168744219727,0,0,0.0476993383019665,0.0480559688687102,0.0420824068757536,0.0465848677808925,0.0457824490057193,0.0415474610256381,0.0457378701848763,0.0428848256509269,0.0389618894167465,0.0455149760806615,0.0469414983476362,0.0433751926801994,0.535168744219727
2021,pm25,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,0.047699,0.048056,0.042082,0.046585,0.045782,0.041547,0.045738,0.042885,0.038962,0.045515,0.046941,0.043375,0.535167
2021,pm25,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,pm25,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,pm25,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,pm25,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,pm25,ie,B_Industry,3,02,sec02,Industry,Emissions_files,2.62741944191764,2.6273957663655,2.62741914966113,2.33832956342853e-05,2.92256502773959e-07,0.224204438729857,0.220482294727505,0.232524525323349,0.224642338024253,0.218292798255535,0.222452841552282,0.210848510250832,0.187858797295131,0.206250567659696,0.225299186965843,0.226393935201836,0.228145532379403,2.62739576636552
2021,pm25,ie,B_Industry,,02,,Industry,NetCDF,,,,,,0.224204,0.220482,0.232525,0.224642,0.218293,0.222453,0.210849,0.187859,0.206251,0.225299,0.226394,0.228146,2.627397
2021,pm25,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,6.70364903576902,6.70351258384345,6.70364903576902,0.000136451925565886,0,0.901668082516288,0.859924189807208,0.861593945515581,0.780332501041913,0.568830111315829,0.473097450703002,0.183673127919986,0.157513621822293,0.298886271797074,0.459739405036091,0.528755974315128,0.629497902053053,6.70351258384345
2021,pm25,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,0.901668,0.859924,0.861594,0.780333,0.56883,0.473097,0.183673,0.157514,0.298886,0.459739,0.528756,0.629498,6.703512
