Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
2021,sox,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,3.06274018338001,3.06274018338001,3.06274018338001,0,0,0.273048824880571,0.274835125604089,0.240895411857251,0.266669179439436,0.261820648904174,0.237833182045507,0.261820648904174,0.245488756574868,0.223032404622074,0.260544719815947,0.268455480162954,0.248295800568968,3.06274018338001
2021,sox,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,0.273049,0.274835,0.240895,0.266669,0.261821,0.237833,0.261821,0.245489,0.223032,0.260545,0.268455,0.248296,3.06274
2021,sox,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,B_Industry,3,02,sec02,Industry,Emissions_files,1.51195587436181,1.51194264596885,1.51195587436181,1.32283929572552e-05,0,0.128410531442097,0.116060941568372,0.128410531442097,0.124251996076455,0.128410531442097,0.124251996076455,0.128410531442097,0.128410531442097,0.124251996076455,0.128410531442097,0.124251996076455,0.128410531442097,1.51194264596887
2021,sox,ie,B_Industry,,02,,Industry,NetCDF,,,,,,0.128411,0.116061,0.128411,0.124252,0.128411,0.124252,0.128411,0.128411,0.124252,0.128411,0.124252,0.128411,1.511946
2021,sox,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,6.96208809066327,6.96193628497262,6.96208809066327,0.000151805690642982,0,0.889461482195436,0.840723866732664,0.750791362009716,0.665500534949887,0.389900923702114,0.340002888823561,0.35160708298137,0.35160708298137,0.340002888823561,0.534373140966734,0.680005777647121,0.827959253159096,6.96193628497263
2021,sox,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,0.889461,0.840724,0.750791,0.665501,0.389901,0.340003,0.351607,0.351607,0.340003,0.534373,0.680006,0.827959,6.961936
2021,sox,ie,D_Fugitive,5,04,sec04,Fugitive,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,D_Fugitive,,04,,Fugitive,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,E_Solvents,6,05,sec05,Solvents,Emissions_files,2.36206866585202e-05,2.36206866585202e-05,2.36206866585202e-05,0,0,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,1.96839055487667e-06,2.36206866585201e-05
2021,sox,ie,E_Solvents,,05,,Solvents,NetCDF,,,,,,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2.4e-05
2021,sox,ie,F_RoadTransport,7,06,sec06,RoadTransport,Emissions_files,0.0381880313626109,0.0381880313626109,0.0381880313626109,0,0,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.00318233594688426,0.0381880313626111
2021,sox,ie,F_RoadTransport,,06,,RoadTransport,NetCDF,,,,,,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.003182,0.038184
2021,sox,ie,G_Shipping,8,07,sec07,Shipping,Emissions_files,0.145518393420989,0.0324557966975001,0.107028808388911,0.0745730116914114,0.0384895850320764,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.00270464972479169,0.0324557966975002
2021,sox,ie,G_Shipping,,07,,Shipping,NetCDF,,,,,,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.002705,0.03246
2021,sox,ie,H_Aviation,8,08,sec08,Aviation,Emissions_files,0.0342357900238377,0.0342356236791591,0.0342357900238377,1.66344678563977e-07,0,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.00285296863992992,0.034235623679159
2021,sox,ie,H_Aviation,,08,,Aviation,NetCDF,,,,,,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.002853,0.034236
2021,sox,ie,I_Offroad,8,09,sec09,Offroad,Emissions_files,0.00240934969131835,0.0023143097896357,0.0023325104609257,1.82006712900059e-05,7.68392303927953e-05,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.000192859149136312,0.00231430978963574
2021,sox,ie,I_Offroad,,09,,Offroad,NetCDF,,,,,,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.000193,0.002316
2021,sox,ie,J_Waste,9,10,sec10,Waste,Emissions_files,0.00153586987077059,0.00153586987077059,0.00153586987077059,0,0,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.000127989155897549,0.00153586987077059
2021,sox,ie,J_Waste,,10,,Waste,NetCDF,,,,,,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.001536
2021,sox,ie,K_AgriLivestock,10,11,sec11,AgriLivestock,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,K_AgriLivestock,,11,,AgriLivestock,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,L_AgriOther,10,12,sec12,AgriOther,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,sox,ie,L_AgriOther,,12,,AgriOther,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
