EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AL,1,Albania,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000456621937686577
AT,2,Austria,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0212097081188775
BE,3,Belgium,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00379022991467252
BG,4,Bulgaria,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00657064523549707
DK,6,Denmark,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00437802625466279
FI,7,Finland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0505455236072385
FR,8,France,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0301122955327962
GR,11,Greece,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0139170763157308
HU,12,Hungary,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0216923695744988
IS,13,Iceland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,4.57691203337163e-07
IE,14,Ireland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00516490635734901
LU,16,Luxembourg,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000554896242903283
NL,17,Netherlands,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00106004855074207
NO,18,Norway,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0103782338751735
PL,19,Poland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.332304178593575
PT,20,Portugal,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00124920759020787
RO,21,Romania,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0463678310301925
ES,22,Spain,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0563151521564346
SE,23,Sweden,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0262398340344339
CH,24,Switzerland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000416940287377656
TR,25,Turkey,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,2.51429074623797
GB,27,United Kingdom,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0400914773446608
NOS,31,North Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00653706075240354
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0233785577658885
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.895099254813583
BLS,34,Black Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.305912859590433
BY,39,Belarus,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0593180827918179
UA,40,Ukraine,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000457786407488328
MD,41,Republic of Moldova,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000824105931911618
EE,43,Estonia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0161207595947235
