EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AL,1,Albania,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0109133504852653
AT,2,Austria,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.212012977376978
BE,3,Belgium,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0894333144862612
BG,4,Bulgaria,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,3.47126757027375
DK,6,Denmark,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.110340577793865
FI,7,Finland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.538577732988881
FR,8,France,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.762491858696319
GR,11,Greece,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,1.13561046218872
HU,12,Hungary,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.663556921852764
IS,13,Iceland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,2.37892139703035e-05
IE,14,Ireland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.187385908546272
LU,16,Luxembourg,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0088558028277896
NL,17,Netherlands,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.10964302968455
NO,18,Norway,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0804366794534726
PL,19,Poland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,16.6339422534462
PT,20,Portugal,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0490459215664753
RO,21,Romania,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,2.47770608731121
ES,22,Spain,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.106812131284848
SE,23,Sweden,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.181846751199351
CH,24,Switzerland,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0335066435318822
TR,25,Turkey,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,40.9782384427304
GB,27,United Kingdom,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.888337822383306
NOS,31,North Sea,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.731731836724689
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,3.19878240646258
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,27.1411405843815
BLS,34,Black Sea,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,5.26166669265385
BY,39,Belarus,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,3.3695768529861
UA,40,Ukraine,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,17.5731827378637
MD,41,Republic of Moldova,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.00282919852226041
EE,43,Estonia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.229611082666297
LV,44,Latvia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.141078916330679
LT,45,Lithuania,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0817431447429699
CZ,46,Czech Republic,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,2.77686311274841
SK,47,Slovakia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.257926800798322
SI,48,Slovenia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.14924393288694
HR,49,Croatia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0109224518340016
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.00314397972822189
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,9.09844998931885
GE,54,Georgia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.243124524778595
CY,55,Cyprus,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.0299039968290704
LI,59,Liechtenstein,Emis_EUR_PublicPower_1,1,sox,2021,A_PublicPower,PublicPower,0.00117067192215472
