Pollutant,Area,Year,Month,GNFR,Sector,layer,emis_kt
nh3,UK,2021,1,A_PublicPower,PublicPower,Emis_UK_PublicPower_1,0.0317264847110491
nh3,UK,2021,2,A_PublicPower,PublicPower,Emis_UK_PublicPower_2,0.0309920347826555
nh3,UK,2021,3,A_PublicPower,PublicPower,Emis_UK_PublicPower_3,0.0301384187602671
nh3,UK,2021,4,A_PublicPower,PublicPower,Emis_UK_PublicPower_4,0.0293282013993012
nh3,UK,2021,5,A_PublicPower,PublicPower,Emis_UK_PublicPower_5,0.0287392545401817
nh3,UK,2021,6,A_PublicPower,PublicPower,Emis_UK_PublicPower_6,0.0285102494901512
nh3,UK,2021,7,A_PublicPower,PublicPower,Emis_UK_PublicPower_7,0.0286337995876092
nh3,UK,2021,8,A_PublicPower,PublicPower,Emis_UK_PublicPower_8,0.0293193617092911
nh3,UK,2021,9,A_PublicPower,PublicPower,Emis_UK_PublicPower_9,0.0304356105913175
nh3,UK,2021,10,A_PublicPower,PublicPower,Emis_UK_PublicPower_10,0.0314791869448964
nh3,UK,2021,11,A_PublicPower,PublicPower,Emis_UK_PublicPower_11,0.0319591501432005
nh3,UK,2021,12,A_PublicPower,PublicPower,Emis_UK_PublicPower_12,0.0317264847110491
nh3,UK,2021,1,B_Industry,Industry,Emis_UK_Industry_1,0.262258027104333
nh3,UK,2021,2,B_Industry,Industry,Emis_UK_Industry_2,0.267056822925282
nh3,UK,2021,3,B_Industry,Industry,Emis_UK_Industry_3,0.281264968694914
nh3,UK,2021,4,B_Industry,Industry,Emis_UK_Industry_4,0.267272834976221
nh3,UK,2021,5,B_Industry,Industry,Emis_UK_Industry_5,0.256312798159908
nh3,UK,2021,6,B_Industry,Industry,Emis_UK_Industry_6,0.272202208830824
nh3,UK,2021,7,B_Industry,Industry,Emis_UK_Industry_7,0.25941772171603
nh3,UK,2021,8,B_Industry,Industry,Emis_UK_Industry_8,0.254155287300714
nh3,UK,2021,9,B_Industry,Industry,Emis_UK_Industry_9,0.267979527656054
nh3,UK,2021,10,B_Industry,Industry,Emis_UK_Industry_10,0.281580771646034
nh3,UK,2021,11,B_Industry,Industry,Emis_UK_Industry_11,0.276721270837017
nh3,UK,2021,12,B_Industry,Industry,Emis_UK_Industry_12,0.262258027104333
nh3,UK,2021,1,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_1,0.101006306254937
nh3,UK,2021,2,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_2,0.102848922027626
nh3,UK,2021,3,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_3,0.0853902636757525
nh3,UK,2021,4,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_4,0.0627209046970383
