Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,Incoming_annual_kt,Terres_annual_kt,Terres_10_annual_kt,SEA_annual_kt,Out_of_Mask_annual_kt,Terres_M1,Terres_M2,Terres_M3,Terres_M4,Terres_M5,Terres_M6,Terres_M7,Terres_M8,Terres_M9,Terres_M10,Terres_M11,Terres_M12,Terres_ann
2021,nh3,ie,A_PublicPower,1,01,sec01,PublicPower,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,A_PublicPower,,01,,PublicPower,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,"",1,01,sec15,PublicPower_Area,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,"",,01,,PublicPower_Area,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,"",1,01,sec14,PublicPower_Point,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,"",,01,,PublicPower_Point,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,B_Industry,3,02,sec02,Industry,Emissions_files,0.113995198526923,0.11399269188607,0.113995198526923,2.5066408528224e-06,0,0.00909725195564002,0.00924045048219334,0.00981233921396029,0.00962144104275226,0.00932097656485619,0.00963947213791277,0.00943773882787514,0.00936403478201236,0.00962666695640509,0.00995938834898967,0.00977567961783214,0.00909725195564002,0.113992691886069
2021,nh3,ie,B_Industry,,02,,Industry,NetCDF,,,,,,0.009097,0.00924,0.009812,0.009621,0.009321,0.009639,0.009438,0.009364,0.009627,0.009959,0.009776,0.009097,0.113991
2021,nh3,ie,C_OtherStationaryComb,2,03,sec03,OtherStationaryComb,Emissions_files,0.102611819290588,0.102603916730147,0.102611819290588,7.90256044048348e-06,0,0.0163426269470146,0.0158678826335169,0.013639559478137,0.0100223007605567,0.00550844314343856,0.00203847651911671,0.000474822601598297,0.000602941109042041,0.00272705355452903,0.00683941566860988,0.0121977673675726,0.0163426269470146,0.102603916730147
2021,nh3,ie,C_OtherStationaryComb,,03,,OtherStationaryComb,NetCDF,,,,,,0.016343,0.015868,0.01364,0.010022,0.005508,0.002038,0.000475,0.000603,0.002727,0.006839,0.012198,0.016343,0.102604
2021,nh3,ie,D_Fugitive,5,04,sec04,Fugitive,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,D_Fugitive,,04,,Fugitive,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,E_Solvents,6,05,sec05,Solvents,Emissions_files,0.0144651972134999,0.0144651972134999,0.0144651972134999,0,0,0.00120543271809026,0.00120543368096998,0.00120543436258784,0.00120543470954497,0.00120543464200287,0.00120543409680567,0.00120543324576931,0.00120543228106554,0.00120543156022575,0.00120543137792431,0.00120543182042323,0.00120543271809026,0.0144651972135
2021,nh3,ie,E_Solvents,,05,,Solvents,NetCDF,,,,,,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.001205,0.01446
2021,nh3,ie,F_RoadTransport,7,06,sec06,RoadTransport,Emissions_files,0.453517323312356,0.453517323312356,0.453517323312356,0,0,0.0354344315019882,0.0362129310862019,0.0364854280489217,0.036545508548429,0.037651734630221,0.0391404715973548,0.0399308124020805,0.0402796395895106,0.0399909124382364,0.0390952501674183,0.0373157718000071,0.0354344315019882,0.453517323312358
2021,nh3,ie,F_RoadTransport,,06,,RoadTransport,NetCDF,,,,,,0.035434,0.036213,0.036485,0.036546,0.037652,0.03914,0.039931,0.04028,0.039991,0.039095,0.037316,0.035434,0.453517
2021,nh3,ie,G_Shipping,8,07,sec07,Shipping,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,G_Shipping,,07,,Shipping,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,H_Aviation,8,08,sec08,Aviation,Emissions_files,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,nh3,ie,H_Aviation,,08,,Aviation,NetCDF,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
