Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,sec_ncdf,time_res,emis_t_tot_ncinput,emis_t_tot_array,emis_t_tot_ncfile,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,co,NetCDF_input,2022,2024,sec01,A_PublicPower,1,PublicPower,Emis_UK_PublicPower,month,40540.6734714258,40540.6734714259,40540.6735505268,3671.55076526234,3693.45074196027,3478.91046175924,3178.40364380519,3037.56519466238,3012.08519211951,2978.59209582791,3187.65390563325,3178.69739827357,3199.3724140022,3975.9352415575,3948.45649566344,40540.6735505268,0.999999998048848
uk,co,NetCDF_input,2022,2024,sec02,B_Industry,3,Industry,Emis_UK_Industry,month,225579.997715266,225579.997715266,225579.997881875,18033.3766684846,18575.1969542407,19753.2524272686,18691.6609071721,18126.0392062903,19266.8171052502,18331.6669615243,18034.9053079808,18968.7117019277,19716.3391833313,19458.9203416042,18623.1111168003,225579.997881875,0.99999999926142
uk,co,NetCDF_input,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,Emis_UK_OtherStationaryComb,month,250299.031780372,250299.031780372,250299.031800083,40144.6131496118,38778.1426711941,33716.3557530253,24717.3688304715,14101.5545587497,4829.23974462779,1429.18256057399,1439.49108371711,6059.97820282892,16535.6068080794,30475.8705721044,38071.6278650995,250299.031800083,0.999999999921249
uk,co,NetCDF_input,2022,2024,sec04,D_Fugitive,5,Fugitive,Emis_UK_Fugitive,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,NetCDF_input,2022,2024,sec05,E_Solvents,6,Solvents,Emis_UK_Solvents,month,1769.75860530881,1769.7586053088,1769.75860528428,147.546948106573,147.517797208816,147.475692363371,147.425906232267,147.396210943104,147.3954662482,147.415587804843,147.450706175418,147.492470365156,147.529510963466,147.553754257625,147.558554615442,1769.75860528428,1.00000000001386
uk,co,NetCDF_input,2022,2024,sec06,F_RoadTransport,7,RoadTransport,Emis_UK_RoadTransport,month,207840.160277826,207840.160277825,207840.160269963,16063.7420662179,16478.8773814683,16789.2345973928,16878.1227326229,17341.3285613365,18134.7850141468,18214.6468401649,18241.7911117924,18194.0341127153,17846.5246019889,17256.7229699642,16400.350280152,207840.160269963,1.00000000003783
uk,co,NetCDF_input,2022,2024,sec07,G_Shipping,8,Shipping,Emis_UK_Shipping,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,NetCDF_input,2022,2024,sec08,H_Aviation,8,Aviation,Emis_UK_Aviation,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,co,NetCDF_input,2022,2024,sec09,I_Offroad,8,Offroad,Emis_UK_Offroad,month,453389.705972365,453389.705972364,453389.705993107,32275.7685777806,33233.1004867548,35098.4296699749,37944.0283974269,40685.4031796488,42593.265116757,42877.6317011738,40696.0768714661,39108.4694520349,38798.876920365,36492.2811620016,33586.3744577229,453389.705993107,0.99999999995425
uk,co,NetCDF_input,2022,2024,sec10,J_Waste,9,Waste,Emis_UK_Waste,month,25874.2627452774,25874.2627452773,25874.2627465845,2156.17958561402,2156.17793651575,2156.17871093501,2156.1826132082,2156.18870481647,2156.19505553393,2156.19863261982,2156.19915081004,2156.19713438757,2156.19346520799,2156.18839525585,2156.18336167986,25874.2627465845,0.999999999949482
