Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,nox,inventory,2022,2024,sec01,A_PublicPower,1,PublicPower,month,339.352059483516,121086.194765127,121425.546824613,122169.627422989,122169.627422988
ie,all,nox,inventory,2022,2024,sec01,A_PublicPower,1,PublicPower,month,5987.22882612608,,5987.22882612608,7476.3021168652,7476.3021168652
uk,all,nox,inventory,2022,2024,sec02,B_Industry,3,Industry,month,41286.5142761008,48495.2159549848,89781.7302310857,85087.1914282744,85087.191428275
ie,all,nox,inventory,2022,2024,sec02,B_Industry,3,Industry,month,8737.74139097949,,8737.74139097949,8598.82190810796,8598.82190810785
uk,all,nox,inventory,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,66935.2635382653,3528.65,70463.9135382653,70341.1345860007,70341.1345860005
ie,all,nox,inventory,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,7714.74270679612,,7714.74270679612,7022.90309593391,7022.90309593392
uk,all,nox,inventory,2022,2024,sec04,D_Fugitive,5,Fugitive,month,10.9067704781664,,10.9067704781664,11.3,11.3
ie,all,nox,inventory,2022,2024,sec04,D_Fugitive,5,Fugitive,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec05,E_Solvents,6,Solvents,month,58.1412468371401,,58.1412468371401,58.1412458315613,58.1412458315621
ie,all,nox,inventory,2022,2024,sec05,E_Solvents,6,Solvents,month,6.42066557297926,,6.42066557297926,5.19872778782,5.19872778781985
uk,all,nox,inventory,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,195328.708903425,,195328.708903425,195427.954948396,195427.954948392
ie,all,nox,inventory,2022,2024,sec06,F_RoadTransport,7,RoadTransport,month,30407.1962246243,,30407.1962246243,25166.6168518615,25166.6168518617
uk,all,nox,inventory,2022,2024,sec07,G_Shipping,8,Shipping,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec07,G_Shipping,8,Shipping,month,6782.24829081887,,6782.24829081887,5276.3400266382,5276.34002663816
uk,all,nox,inventory,2022,2024,sec08,H_Aviation,8,Aviation,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec08,H_Aviation,8,Aviation,month,1514.15906960775,,1514.15906960775,1353.846338396,1353.846338396
uk,all,nox,inventory,2022,2024,sec09,I_Offroad,8,Offroad,month,337424.163083444,,337424.163083444,325547.739007094,325547.739007101
ie,all,nox,inventory,2022,2024,sec09,I_Offroad,8,Offroad,month,5032.94426463654,,5032.94426463654,5694.63693114736,5694.63693114766
uk,all,nox,inventory,2022,2024,sec10,J_Waste,9,Waste,month,583.927979508827,441.05,1024.97797950883,3405.76621256673,3405.76621256678
ie,all,nox,inventory,2022,2024,sec10,J_Waste,9,Waste,month,13.9153049627203,,13.9153049627203,18.28092024,18.28092024
uk,all,nox,inventory,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,24435.9746735349,,24435.9746735349,24090.169195297,24090.169195298
ie,all,nox,inventory,2022,2024,sec11,K_AgriLivestock,10,AgriLivestock,month,966.507004485497,,966.507004485497,956.084012244131,956.084012244134
uk,all,nox,inventory,2022,2024,sec12,L_AgriOther,10,AgriOther,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec12,L_AgriOther,10,AgriOther,month,32764.1283564335,,32764.1283564335,32856.753588264,32856.7535882639
uk,all,nox,inventory,2022,2024,sec13,M_Other,11,Other,month,1813.74208614157,,1813.74208614157,1774.85212895907,1774.85212895906
ie,all,nox,inventory,2022,2024,sec13,M_Other,11,Other,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec14,"",1,PublicPower_Point,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec14,"",1,PublicPower_Point,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec15,"",1,PublicPower_Area,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec15,"",1,PublicPower_Area,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec16,"",7,RoadTransportExhaustGasoline,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec16,"",7,RoadTransportExhaustGasoline,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec17,"",7,RoadTransportExhaustDiesel,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec17,"",7,RoadTransportExhaustDiesel,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec18,"",7,RoadTransportExhaustLPGgas,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec18,"",7,RoadTransportExhaustLPGgas,month,,,,0,0
uk,all,nox,inventory,2022,2024,sec19,"",7,RoadTransportNonExhaustOther,month,,,,0,0
ie,all,nox,inventory,2022,2024,sec19,"",7,RoadTransportNonExhaustOther,month,,,,0,0
