Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,tsum,tot_tres_ratio
uk,terrestrial,voc,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,3641.85514186023,309.810094238286,311.189240689093,304.880855484385,295.544470710627,291.74650676132,292.289658429473,292.353595189683,297.512187719404,293.588046417397,295.981062391677,331.030901545058,325.928522283702,3641.8551418601,1.00000000000004
uk,sea,voc,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0.0119413001700837,0.00101583813383965,0.00102036022522054,0.000999675623998425,0.000969062497241851,0.00095660933098805,0.000958390274176338,0.000958599916794072,0.000975514456075046,0.000962647566159867,0.000970494040263781,0.00108541916329594,0.00106868894203013,0.0119413001700837,1
uk,outwith,voc,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,318.064098504807,27.993700269194,28.2864586560742,26.5863101975704,24.526029661302,23.8205486070258,23.9204910565156,24.0837497595538,25.5255789914094,24.5108771423108,24.6548864923806,32.6101020796397,31.5453655918308,318.064098504807,1
ie,sea,voc,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,outwith,voc,masked,2022,2024,sec01,A_PublicPower,1,PublicPower,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec02,B_Industry,3,Industry,month,152990.673778724,12277.9535506615,12555.3033592769,13079.3054324953,12727.3111260469,12543.6108274185,13001.5944431796,12644.0618023006,12524.021256448,12901.8785902637,13193.5131549741,12996.3498717872,12545.7703638743,152990.673778727,0.999999999999982
uk,sea,voc,masked,2022,2024,sec02,B_Industry,3,Industry,month,340.755487388646,27.3466345559199,27.9643746238444,29.1314822483948,28.3474868028577,27.9383318965729,28.9583968871392,28.1620659325058,27.8947001271406,28.7363001852839,29.3858566306719,28.946715675227,27.9431418230825,340.755487388641,1.00000000000002
uk,outwith,voc,masked,2022,2024,sec02,B_Industry,3,Industry,month,779.054369745969,62.5214147302538,63.933726834081,66.6020339590423,64.8096194556498,63.8741864855546,66.2063164665436,64.385699828131,63.7744330790966,65.6985464892737,67.1835989855767,66.1796102225634,63.8851832101984,779.054369745965,1.00000000000001
ie,terrestrial,voc,masked,2022,2024,sec02,B_Industry,3,Industry,month,34004.1470100701,2670.33807670234,2627.08819724899,2869.22243775501,2839.16033517011,2759.02522428235,2869.28831252908,2821.11152506574,2810.03582347231,2878.03504722593,2958.33169687506,3010.55873751661,2891.95159622676,34004.1470100703,0.999999999999994
ie,sea,voc,masked,2022,2024,sec02,B_Industry,3,Industry,month,0.177074573534882,0.0139056267456436,0.0136804055701978,0.0149413052293804,0.0147847586177799,0.0143674597929803,0.0149416482683493,0.0146907705124147,0.0146330944549716,0.0149871963691678,0.0154053363974619,0.0156773056059778,0.0150596659705569,0.177074573534882,1
ie,outwith,voc,masked,2022,2024,sec02,B_Industry,3,Industry,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,27521.8580686411,4364.63525281922,4226.40979048274,3671.22495046906,2699.44912374038,1567.62249686714,573.850446429564,195.691276384368,217.864422769948,723.951013684687,1826.6300579907,3319.78486425383,4134.74437274965,27521.8580686413,0.999999999999993
uk,sea,voc,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0.0563510056125656,0.00893659087315238,0.00865357423290618,0.00751683324842795,0.00552712220022834,0.00320970713165616,0.00117495881444032,0.000400677897050502,0.000446077415255488,0.00148228973253274,0.00374002512450994,0.00679725965636127,0.00846588928604429,0.0563510056125656,1
uk,outwith,voc,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ie,terrestrial,voc,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,7994.54254205155,1274.9330928462,1224.52177344529,1063.02279686158,784.453015958963,453.157580691096,160.920676188867,59.2708999977845,63.4350455837629,208.69320150083,533.143986345032,962.541231122878,1206.44924150928,7994.54254205157,0.999999999999998
ie,sea,voc,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0.246344830776973,0.0392859473018149,0.0377325666197147,0.0327561170170132,0.024172233051787,0.0139636541982803,0.00495862978222267,0.00182638090336638,0.00195469540470435,0.00643069833422067,0.0164283652760728,0.0296598655207075,0.0371756773670682,0.246344830776973,1
ie,outwith,voc,masked,2022,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
uk,terrestrial,voc,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,month,43380.6155725542,3618.70059963943,3619.39050613914,3619.19780823084,3618.01375466452,3616.04990728287,3613.65705318411,3611.60974343091,3610.2499166907,3610.29284722106,3611.88517284261,3614.54417383967,3617.02408938811,43380.615572554,1.00000000000001
uk,sea,voc,masked,2022,2024,sec04,D_Fugitive,5,Fugitive,month,0.00218582443684965,0.000182335914231212,0.000182370676635257,0.00018236096714194,0.000182301306088597,0.000182202353467927,0.000182081784432801,0.000181978626383305,0.00018191010862533,0.000181912271771266,0.000181992504479106,0.000182126483890879,0.000182251439702034,0.00218582443684965,1
