EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AL,1,Albania,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0213540114733596
BE,3,Belgium,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00380705600177706
BG,4,Bulgaria,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00657064523549707
DK,6,Denmark,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00437452971032953
FI,7,Finland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0460906699815029
FR,8,France,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0302283217436117
GR,11,Greece,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0139170763157308
HU,12,Hungary,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0216932098233444
IS,13,Iceland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,5.7140679564327e-07
IE,14,Ireland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00516500337715859
LU,16,Luxembourg,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000119223374546436
NL,17,Netherlands,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00150212273595298
NO,18,Norway,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0103757624847361
PL,19,Poland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.332154825057472
PT,20,Portugal,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00654669300278601
RO,21,Romania,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0463678310301925
ES,22,Spain,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0563731679765432
SE,23,Sweden,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0261136887492664
CH,24,Switzerland,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000418233802825853
TR,25,Turkey,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,2.97728913179301
GB,27,United Kingdom,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0440553147895507
NOS,31,North Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00706645632217723
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0300813054644034
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.951673161982679
BLS,34,Black Sea,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.362249452101067
BY,39,Belarus,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0359906010130906
UA,40,Ukraine,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.360262172123515
MD,41,Republic of Moldova,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.000705518883652985
EE,43,Estonia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0167460629180168
LV,44,Latvia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0644307765654885
LT,45,Lithuania,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0117095083294912
CZ,46,Czech Republic,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.0465888294918025
SK,47,Slovakia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00403700564002008
SI,48,Slovenia,Emis_EUR_PublicPower_1,1,pmco,2021,A_PublicPower,PublicPower,0.00348240093037668
