EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AL,1,Albania,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.59913386876229
BE,3,Belgium,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.173147170345765
BG,4,Bulgaria,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.626460540025582
DK,6,Denmark,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.785086986691299
FI,7,Finland,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.56407630226697
FR,8,France,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.85168291576382
GR,11,Greece,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.402741114616394
HU,12,Hungary,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.909730972764266
IS,13,Iceland,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,4.55301674082875e-06
IE,14,Ireland,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.27862235282691
LU,16,Luxembourg,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.0422508717236342
NL,17,Netherlands,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.303124668769073
NO,18,Norway,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.37794373811535
PL,19,Poland,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,5.83808307094899
PT,20,Portugal,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.254732819304272
RO,21,Romania,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.644059681306029
ES,22,Spain,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.59455786229141
SE,23,Sweden,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.606843012838331
CH,24,Switzerland,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.0981270007061466
TR,25,Turkey,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.35189582901198
GB,27,United Kingdom,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,2.33483627839824
NOS,31,North Sea,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.719216603644483
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.510300141575623
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,10.31268354521
BLS,34,Black Sea,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.231301699712873
BY,39,Belarus,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.652825491272932
UA,40,Ukraine,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,2.14825563964219
MD,41,Republic of Moldova,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.238565567839891
EE,43,Estonia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.216608004743786
LV,44,Latvia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.336358776311274
LT,45,Lithuania,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.975081678007615
CZ,46,Czech Republic,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,1.24581675827852
SK,47,Slovakia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.283721829508577
SI,48,Slovenia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.126088766425273
HR,49,Croatia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.0822889646158146
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.24316720046103
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.0947920866012573
GE,54,Georgia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.00939133344855429
CY,55,Cyprus,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.0784480261305806
LI,59,Liechtenstein,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.00226464419765398
DE,60,Germany,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,9.95407388802031
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,25.5314680890557
NOA,63,North Africa,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,2.68201464138145
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.00980937848766916
AZ,69,Azerbaijan,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.0823271114397794
RS,72,Serbia,Emis_EUR_PublicPower_1,1,co,2021,A_PublicPower,PublicPower,0.437491468421744
