EMEP_iso,EMEP_code,Name,layer,Month,Pollutant,Year,GNFR,Sector,emis_kt
AL,1,Albania,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0466033861632751
BE,3,Belgium,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0318357683738229
BG,4,Bulgaria,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0966106448178428
DK,6,Denmark,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0735324480802482
FI,7,Finland,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.138230909312969
FR,8,France,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0724661291450595
GR,11,Greece,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0210550637245178
HU,12,Hungary,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.160433772546978
IS,13,Iceland,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,3.12689156271517e-06
IE,14,Ireland,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.162274975832793
LU,16,Luxembourg,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.011086513077269
NL,17,Netherlands,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0397834966432565
NO,18,Norway,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.155474897056281
PL,19,Poland,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.33370023105324
PT,20,Portugal,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0266200092527023
RO,21,Romania,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0393432914916039
ES,22,Spain,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.787300137334447
SE,23,Sweden,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.253183286640709
CH,24,Switzerland,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0234408665876399
TR,25,Turkey,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.626046638617379
GB,27,United Kingdom,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.336358071678799
NOS,31,North Sea,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.133296893730232
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0935647849300054
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.938082679231967
BLS,34,Black Sea,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.331800581154006
BY,39,Belarus,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.210597097877803
UA,40,Ukraine,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0155615218333109
MD,41,Republic of Moldova,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0165277243768796
EE,43,Estonia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.10020946377252
LV,44,Latvia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0292653859475504
LT,45,Lithuania,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.052387759993041
CZ,46,Czech Republic,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.543590956394986
SK,47,Slovakia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0273034167063547
SI,48,Slovenia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0131594202155419
HR,49,Croatia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0341665708935175
BA,50,Bosnia and Herzegovina,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.112588774587959
MK,52,The former Yugoslav Republic of Macedonia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.00603199398517609
GE,54,Georgia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.00318353918845401
CY,55,Cyprus,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0
AM,56,Armenia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0089422886117159
LI,59,Liechtenstein,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.000672716425073304
DE,60,Germany,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.758133380196061
RU,61,Russian Federation in the former official EMEP domain,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.814332012386869
NOA,63,North Africa,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.341227442023352
KG,68,Kyrgyzstan,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.017963442236869
AZ,69,Azerbaijan,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0725800649617036
RS,72,Serbia,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0860184733259478
ME,73,Montenegro,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0
UZ,76,Uzbekistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.121564270225412
TM,77,Turkmenistan (in the original EMEP domain),Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0058961718082428
CAS,80,Caspian Sea,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.0309832236398197
TJ,81,Tajikistan,Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.000251776523300578
KZT,92,Kazakhstan (all),Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,0.609036782561248
RUE,93,Russian Federation in the extended EMEP domain (RU+RFE+RUX),Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,1.21296695499159
AST,96,Asian areas in the extended EMEP domain (ASM+ASE+ARO+ARE+CAS),Emis_EUR_PublicPower_1,1,voc,2021,A_PublicPower,PublicPower,3.78567492321119
AL,1,Albania,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0
AT,2,Austria,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.042397262018312
BE,3,Belgium,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0324495740519991
BG,4,Bulgaria,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0956175257356477
DK,6,Denmark,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0642977476232458
FI,7,Finland,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.127385894149445
FR,8,France,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0652768043353088
GR,11,Greece,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.021115510545671
HU,12,Hungary,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.146067755174043
IS,13,Iceland,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,2.88353580981493e-06
IE,14,Ireland,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0
IT,15,Italy,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.162256800020258
LU,16,Luxembourg,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.011360544560559
NL,17,Netherlands,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0387414870283792
NO,18,Norway,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.136508207314975
PL,19,Poland,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.314036647673096
PT,20,Portugal,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0160150664569919
RO,21,Romania,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0385053466927686
ES,22,Spain,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.571287146943823
SE,23,Sweden,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.231361095646587
CH,24,Switzerland,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0206205742648071
TR,25,Turkey,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.577527121970081
GB,27,United Kingdom,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0
BAS,30,Baltic Sea,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.306305535309776
NOS,31,North Sea,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.120963616642583
ATL,32,Remaining North-East Atlantic Ocean,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.0783077645620492
MED,33,Mediterranean Sea,Emis_EUR_PublicPower_2,2,voc,2021,A_PublicPower,PublicPower,0.868904694343635
