Pollutant,Area,Year,Month,GNFR,Sector,layer,emis_kt
nox,UK,2021,1,A_PublicPower,PublicPower,Emis_UK_PublicPower_1,8.70739572215543
nox,UK,2021,2,A_PublicPower,PublicPower,Emis_UK_PublicPower_2,8.14913645203482
nox,UK,2021,3,A_PublicPower,PublicPower,Emis_UK_PublicPower_3,8.99015051618012
nox,UK,2021,4,A_PublicPower,PublicPower,Emis_UK_PublicPower_4,8.06938508056406
nox,UK,2021,5,A_PublicPower,PublicPower,Emis_UK_PublicPower_5,6.0393510174602
nox,UK,2021,6,A_PublicPower,PublicPower,Emis_UK_PublicPower_6,6.61211063741867
nox,UK,2021,7,A_PublicPower,PublicPower,Emis_UK_PublicPower_7,6.51785905991852
nox,UK,2021,8,A_PublicPower,PublicPower,Emis_UK_PublicPower_8,5.43759100411755
nox,UK,2021,9,A_PublicPower,PublicPower,Emis_UK_PublicPower_9,6.32210579461412
nox,UK,2021,10,A_PublicPower,PublicPower,Emis_UK_PublicPower_10,6.93836609168749
nox,UK,2021,11,A_PublicPower,PublicPower,Emis_UK_PublicPower_11,6.86586486578359
nox,UK,2021,12,A_PublicPower,PublicPower,Emis_UK_PublicPower_12,8.36664002767359
nox,UK,2021,1,B_Industry,Industry,Emis_UK_Industry_1,7.28912730972354
nox,UK,2021,2,B_Industry,Industry,Emis_UK_Industry_2,6.58811210628649
nox,UK,2021,3,B_Industry,Industry,Emis_UK_Industry_3,7.28912730972354
nox,UK,2021,4,B_Industry,Industry,Emis_UK_Industry_4,7.05307118116121
nox,UK,2021,5,B_Industry,Industry,Emis_UK_Industry_5,7.28912730972354
nox,UK,2021,6,B_Industry,Industry,Emis_UK_Industry_6,7.05307118116121
nox,UK,2021,7,B_Industry,Industry,Emis_UK_Industry_7,7.28912730972354
nox,UK,2021,8,B_Industry,Industry,Emis_UK_Industry_8,7.28912730972354
nox,UK,2021,9,B_Industry,Industry,Emis_UK_Industry_9,7.05307118116121
nox,UK,2021,10,B_Industry,Industry,Emis_UK_Industry_10,7.28912730972354
nox,UK,2021,11,B_Industry,Industry,Emis_UK_Industry_11,7.05307118116121
nox,UK,2021,12,B_Industry,Industry,Emis_UK_Industry_12,7.28912730972354
nox,UK,2021,1,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_1,11.2926081160466
nox,UK,2021,2,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_2,10.4115788997723
nox,UK,2021,3,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_3,8.26366823967618
nox,UK,2021,4,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_4,6.79099896170439
nox,UK,2021,5,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_5,3.80707517329666
nox,UK,2021,6,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_6,3.4147920890071
nox,UK,2021,7,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_7,3.52411688421282
nox,UK,2021,8,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_8,3.52411688421282
nox,UK,2021,9,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_9,3.4147920890071
nox,UK,2021,10,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_10,4.73312048440305
nox,UK,2021,11,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_11,6.95820158314747
nox,UK,2021,12,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_12,11.0353733026512
nox,UK,2021,1,D_Fugitive,Fugitive,Emis_UK_Fugitive_1,0
nox,UK,2021,2,D_Fugitive,Fugitive,Emis_UK_Fugitive_2,0
nox,UK,2021,3,D_Fugitive,Fugitive,Emis_UK_Fugitive_3,0
nox,UK,2021,4,D_Fugitive,Fugitive,Emis_UK_Fugitive_4,0
nox,UK,2021,5,D_Fugitive,Fugitive,Emis_UK_Fugitive_5,0
nox,UK,2021,6,D_Fugitive,Fugitive,Emis_UK_Fugitive_6,0
nox,UK,2021,7,D_Fugitive,Fugitive,Emis_UK_Fugitive_7,0
nox,UK,2021,8,D_Fugitive,Fugitive,Emis_UK_Fugitive_8,0
nox,UK,2021,9,D_Fugitive,Fugitive,Emis_UK_Fugitive_9,0
nox,UK,2021,10,D_Fugitive,Fugitive,Emis_UK_Fugitive_10,0
nox,UK,2021,11,D_Fugitive,Fugitive,Emis_UK_Fugitive_11,0
nox,UK,2021,12,D_Fugitive,Fugitive,Emis_UK_Fugitive_12,0
nox,UK,2021,1,E_Solvents,Solvents,Emis_UK_Solvents_1,0.00510389547796708
nox,UK,2021,2,E_Solvents,Solvents,Emis_UK_Solvents_2,0.00510389547796708
nox,UK,2021,3,E_Solvents,Solvents,Emis_UK_Solvents_3,0.00510389547796708
nox,UK,2021,4,E_Solvents,Solvents,Emis_UK_Solvents_4,0.00510389547796708
nox,UK,2021,5,E_Solvents,Solvents,Emis_UK_Solvents_5,0.00510389547796708
nox,UK,2021,6,E_Solvents,Solvents,Emis_UK_Solvents_6,0.00510389547796708
nox,UK,2021,7,E_Solvents,Solvents,Emis_UK_Solvents_7,0.00510389547796708
nox,UK,2021,8,E_Solvents,Solvents,Emis_UK_Solvents_8,0.00510389547796708
nox,UK,2021,9,E_Solvents,Solvents,Emis_UK_Solvents_9,0.00510389547796708
nox,UK,2021,10,E_Solvents,Solvents,Emis_UK_Solvents_10,0.00510389547796708
nox,UK,2021,11,E_Solvents,Solvents,Emis_UK_Solvents_11,0.00510389547796708
nox,UK,2021,12,E_Solvents,Solvents,Emis_UK_Solvents_12,0.00510389547796708
nox,UK,2021,1,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_1,16.6953588967547
nox,UK,2021,2,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_2,16.6953588967547
nox,UK,2021,3,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_3,16.6953588967547
nox,UK,2021,4,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_4,16.6953588967547
nox,UK,2021,5,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_5,16.6953588967547
nox,UK,2021,6,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_6,16.6953588967547
nox,UK,2021,7,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_7,16.6953588967547
nox,UK,2021,8,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_8,16.6953588967547
nox,UK,2021,9,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_9,16.6953588967547
nox,UK,2021,10,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_10,16.6953588967547
nox,UK,2021,11,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_11,16.6953588967547
nox,UK,2021,12,F_RoadTransport,RoadTransport,Emis_UK_RoadTransport_12,16.6953588967547
nox,UK,2021,1,G_Shipping,Shipping,Emis_UK_Shipping_1,0
nox,UK,2021,2,G_Shipping,Shipping,Emis_UK_Shipping_2,0
nox,UK,2021,3,G_Shipping,Shipping,Emis_UK_Shipping_3,0
nox,UK,2021,4,G_Shipping,Shipping,Emis_UK_Shipping_4,0
nox,UK,2021,5,G_Shipping,Shipping,Emis_UK_Shipping_5,0
nox,UK,2021,6,G_Shipping,Shipping,Emis_UK_Shipping_6,0
nox,UK,2021,7,G_Shipping,Shipping,Emis_UK_Shipping_7,0
nox,UK,2021,8,G_Shipping,Shipping,Emis_UK_Shipping_8,0
nox,UK,2021,9,G_Shipping,Shipping,Emis_UK_Shipping_9,0
nox,UK,2021,10,G_Shipping,Shipping,Emis_UK_Shipping_10,0
nox,UK,2021,11,G_Shipping,Shipping,Emis_UK_Shipping_11,0
nox,UK,2021,12,G_Shipping,Shipping,Emis_UK_Shipping_12,0
nox,UK,2021,1,H_Aviation,Aviation,Emis_UK_Aviation_1,0
nox,UK,2021,2,H_Aviation,Aviation,Emis_UK_Aviation_2,0
nox,UK,2021,3,H_Aviation,Aviation,Emis_UK_Aviation_3,0
nox,UK,2021,4,H_Aviation,Aviation,Emis_UK_Aviation_4,0
nox,UK,2021,5,H_Aviation,Aviation,Emis_UK_Aviation_5,0
nox,UK,2021,6,H_Aviation,Aviation,Emis_UK_Aviation_6,0
nox,UK,2021,7,H_Aviation,Aviation,Emis_UK_Aviation_7,0
nox,UK,2021,8,H_Aviation,Aviation,Emis_UK_Aviation_8,0
nox,UK,2021,9,H_Aviation,Aviation,Emis_UK_Aviation_9,0
nox,UK,2021,10,H_Aviation,Aviation,Emis_UK_Aviation_10,0
nox,UK,2021,11,H_Aviation,Aviation,Emis_UK_Aviation_11,0
nox,UK,2021,12,H_Aviation,Aviation,Emis_UK_Aviation_12,0
nox,UK,2021,1,I_Offroad,Offroad,Emis_UK_Offroad_1,7.15078886140131
nox,UK,2021,2,I_Offroad,Offroad,Emis_UK_Offroad_2,7.15078886140131
nox,UK,2021,3,I_Offroad,Offroad,Emis_UK_Offroad_3,7.15078886140131
