Pollutant,Area,Year,Month,GNFR,Sector,layer,emis_kt
nh3,UK,2021,1,A_PublicPower,PublicPower,Emis_UK_PublicPower_1,0.0402313470544759
nh3,UK,2021,2,A_PublicPower,PublicPower,Emis_UK_PublicPower_2,0.037905661120778
nh3,UK,2021,3,A_PublicPower,PublicPower,Emis_UK_PublicPower_3,0.034341622821521
nh3,UK,2021,4,A_PublicPower,PublicPower,Emis_UK_PublicPower_4,0.0328918445231393
nh3,UK,2021,5,A_PublicPower,PublicPower,Emis_UK_PublicPower_5,0.027273953679367
nh3,UK,2021,6,A_PublicPower,PublicPower,Emis_UK_PublicPower_6,0.0222299337049481
nh3,UK,2021,7,A_PublicPower,PublicPower,Emis_UK_PublicPower_7,0.0203875071890652
nh3,UK,2021,8,A_PublicPower,PublicPower,Emis_UK_PublicPower_8,0.020508321692585
nh3,UK,2021,9,A_PublicPower,PublicPower,Emis_UK_PublicPower_9,0.0243743970196228
nh3,UK,2021,10,A_PublicPower,PublicPower,Emis_UK_PublicPower_10,0.030535955136409
nh3,UK,2021,11,A_PublicPower,PublicPower,Emis_UK_PublicPower_11,0.034462438040413
nh3,UK,2021,12,A_PublicPower,PublicPower,Emis_UK_PublicPower_12,0.0378452535478864
nh3,UK,2021,1,B_Industry,Industry,Emis_UK_Industry_1,0.299885420445402
nh3,UK,2021,2,B_Industry,Industry,Emis_UK_Industry_2,0.309498844307557
nh3,UK,2021,3,B_Industry,Industry,Emis_UK_Industry_3,0.307362527905284
nh3,UK,2021,4,B_Industry,Industry,Emis_UK_Industry_4,0.283596008566507
nh3,UK,2021,5,B_Industry,Industry,Emis_UK_Industry_5,0.262499883397499
nh3,UK,2021,6,B_Industry,Industry,Emis_UK_Industry_6,0.252352379519165
nh3,UK,2021,7,B_Industry,Industry,Emis_UK_Industry_7,0.225648423644278
nh3,UK,2021,8,B_Industry,Industry,Emis_UK_Industry_8,0.198410387491153
nh3,UK,2021,9,B_Industry,Industry,Emis_UK_Industry_9,0.222710990235673
nh3,UK,2021,10,B_Industry,Industry,Emis_UK_Industry_10,0.265170279660141
nh3,UK,2021,11,B_Industry,Industry,Emis_UK_Industry_11,0.283328968582396
nh3,UK,2021,12,B_Industry,Industry,Emis_UK_Industry_12,0.298016142918965
nh3,UK,2021,1,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_1,0.105351805727059
