Pollutant,Area,Year,Month,GNFR,Sector,layer,emis_kt
pm25,UK,2021,1,A_PublicPower,PublicPower,Emis_UK_PublicPower_1,0.236947621411855
pm25,UK,2021,2,A_PublicPower,PublicPower,Emis_UK_PublicPower_2,0.221768780407937
pm25,UK,2021,3,A_PublicPower,PublicPower,Emis_UK_PublicPower_3,0.244635605805003
pm25,UK,2021,4,A_PublicPower,PublicPower,Emis_UK_PublicPower_4,0.21960037460999
pm25,UK,2021,5,A_PublicPower,PublicPower,Emis_UK_PublicPower_5,0.164207461414561
pm25,UK,2021,6,A_PublicPower,PublicPower,Emis_UK_PublicPower_6,0.179780557997829
pm25,UK,2021,7,A_PublicPower,PublicPower,Emis_UK_PublicPower_7,0.177217896573428
pm25,UK,2021,8,A_PublicPower,PublicPower,Emis_UK_PublicPower_8,0.147845853650921
pm25,UK,2021,9,A_PublicPower,PublicPower,Emis_UK_PublicPower_9,0.171895445760163
pm25,UK,2021,10,A_PublicPower,PublicPower,Emis_UK_PublicPower_10,0.188651309184819
pm25,UK,2021,11,A_PublicPower,PublicPower,Emis_UK_PublicPower_11,0.186680031131365
pm25,UK,2021,12,A_PublicPower,PublicPower,Emis_UK_PublicPower_12,0.227682614508006
pm25,UK,2021,1,B_Industry,Industry,Emis_UK_Industry_1,1.28959108432385
pm25,UK,2021,2,B_Industry,Industry,Emis_UK_Industry_2,1.35149145427974
pm25,UK,2021,3,B_Industry,Industry,Emis_UK_Industry_3,1.44692119755806
pm25,UK,2021,4,B_Industry,Industry,Emis_UK_Industry_4,1.36954573103851
pm25,UK,2021,5,B_Industry,Industry,Emis_UK_Industry_5,1.2573513068977
pm25,UK,2021,6,B_Industry,Industry,Emis_UK_Industry_6,1.2766951730534
pm25,UK,2021,7,B_Industry,Industry,Emis_UK_Industry_7,1.21479480172172
pm25,UK,2021,8,B_Industry,Industry,Emis_UK_Industry_8,1.13741933654897
pm25,UK,2021,9,B_Industry,Industry,Emis_UK_Industry_9,1.21092602832486
pm25,UK,2021,10,B_Industry,Industry,Emis_UK_Industry_10,1.31022454188643
pm25,UK,2021,11,B_Industry,Industry,Emis_UK_Industry_11,1.32312045264552
pm25,UK,2021,12,B_Industry,Industry,Emis_UK_Industry_12,1.29345985887122
pm25,UK,2021,1,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_1,2.98745341557792
pm25,UK,2021,2,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_2,2.79269718177748
pm25,UK,2021,3,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_3,3.06607061044951
pm25,UK,2021,4,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_4,2.60866147513129
pm25,UK,2021,5,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_5,1.57055714925258
pm25,UK,2021,6,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_6,1.34721284408036
pm25,UK,2021,7,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_7,0.58248194590285
pm25,UK,2021,8,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_8,0.393085975563741
pm25,UK,2021,9,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_9,0.936259323990282
pm25,UK,2021,10,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_10,1.49551346223503
pm25,UK,2021,11,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_11,1.67954916906245
pm25,UK,2021,12,C_OtherStationaryComb,OtherStationaryComb,Emis_UK_OtherStationaryComb_12,2.06012786396
pm25,UK,2021,1,D_Fugitive,Fugitive,Emis_UK_Fugitive_1,0.000634668837185018
pm25,UK,2021,2,D_Fugitive,Fugitive,Emis_UK_Fugitive_2,0.000639781986013986
pm25,UK,2021,3,D_Fugitive,Fugitive,Emis_UK_Fugitive_3,0.000639781986013986
pm25,UK,2021,4,D_Fugitive,Fugitive,Emis_UK_Fugitive_4,0.00063850369193824
pm25,UK,2021,5,D_Fugitive,Fugitive,Emis_UK_Fugitive_5,0.000639142833882943
pm25,UK,2021,6,D_Fugitive,Fugitive,Emis_UK_Fugitive_6,0.00063850369193824
pm25,UK,2021,7,D_Fugitive,Fugitive,Emis_UK_Fugitive_7,0.000639781986013986
pm25,UK,2021,8,D_Fugitive,Fugitive,Emis_UK_Fugitive_8,0.000639781986013986
pm25,UK,2021,9,D_Fugitive,Fugitive,Emis_UK_Fugitive_9,0.000639781986013986
pm25,UK,2021,10,D_Fugitive,Fugitive,Emis_UK_Fugitive_10,0.000639781986013986
pm25,UK,2021,11,D_Fugitive,Fugitive,Emis_UK_Fugitive_11,0.000639781986013986
pm25,UK,2021,12,D_Fugitive,Fugitive,Emis_UK_Fugitive_12,0.000639781986013986
pm25,UK,2021,1,E_Solvents,Solvents,Emis_UK_Solvents_1,0.111609920878017
pm25,UK,2021,2,E_Solvents,Solvents,Emis_UK_Solvents_2,0.11273983011924
pm25,UK,2021,3,E_Solvents,Solvents,Emis_UK_Solvents_3,0.120147012721416
pm25,UK,2021,4,E_Solvents,Solvents,Emis_UK_Solvents_4,0.127177558901973
pm25,UK,2021,5,E_Solvents,Solvents,Emis_UK_Solvents_5,0.129562922825088
pm25,UK,2021,6,E_Solvents,Solvents,Emis_UK_Solvents_6,0.135086923378399
pm25,UK,2021,7,E_Solvents,Solvents,Emis_UK_Solvents_7,0.135212468840087
pm25,UK,2021,8,E_Solvents,Solvents,Emis_UK_Solvents_8,0.132952650445806
pm25,UK,2021,9,E_Solvents,Solvents,Emis_UK_Solvents_9,0.135589105263805
pm25,UK,2021,10,E_Solvents,Solvents,Emis_UK_Solvents_10,0.131069468410469
pm25,UK,2021,11,E_Solvents,Solvents,Emis_UK_Solvents_11,0.120523649108979
