iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncoutput,t1,tsum,tot_tres_ratio
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec01,A_PublicPower,1152.32003724575,1152.32003724575,1152.32003724575,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec02,B_Industry,2850.62004089356,2850.62004089356,2850.62004089356,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec03,C_OtherStationaryComb,862.170000489103,862.170000489103,862.170000489103,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec04,D_Fugitive,57.13000048697,57.13000048697,57.13000048697,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec05,E_Solvents,0,0,0,
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec06,F_RoadTransport,16576.6899337206,16576.6899337206,16576.6899337206,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec07,G_Shipping,1300.53000411019,1300.53000411019,1300.53000411019,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec08,H_Aviation,5.84999990463257,5.84999990463257,5.84999990463257,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec09,I_Offroad,1684.12000029863,1684.12000029863,1684.12000029863,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec10,J_Waste,159.490000114587,159.490000114587,159.490000114587,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec11,K_AgriLivestock,2268.96997070313,2268.96997070313,2268.96997070313,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec12,L_AgriOther,1334.08996582031,1334.08996582031,1334.08996582031,1
AL,1,nox,NetCDF_output,2010,2024,allISO,annual,sec13,M_Other,900.000002991328,900.000002991328,900.000002991328,1
AM,56,nox,NetCDF_output,2010,2024,allISO,annual,sec01,A_PublicPower,759.809971657598,759.809971657598,759.809971657598,1
AM,56,nox,NetCDF_output,2010,2024,allISO,annual,sec02,B_Industry,5081.24003681035,5081.24003681035,5081.24003681035,1
AM,56,nox,NetCDF_output,2010,2024,allISO,annual,sec03,C_OtherStationaryComb,2128.20998675322,2128.20998675322,2128.20998675322,1
AM,56,nox,NetCDF_output,2010,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
AM,56,nox,NetCDF_output,2010,2024,allISO,annual,sec05,E_Solvents,0,0,0,
AM,56,nox,NetCDF_output,2010,2024,allISO,annual,sec06,F_RoadTransport,13920.3899806823,13920.3899806823,13920.3899806823,1
