ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
AL,2010,2010,A_PublicPower,sox,273.55,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AL,2010,2010,B_Industry,sox,4136.71,3,eu,2,sec02,Industry,EMEP_unprocessed
AL,2010,2010,C_OtherStationaryComb,sox,1252.95,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AL,2010,2010,D_Fugitive,sox,0.57,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AL,2010,2010,F_RoadTransport,sox,535.17,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AL,2010,2010,G_Shipping,sox,338.59,8,eu,7,sec07,Shipping,EMEP_unprocessed
AL,2010,2010,H_Aviation,sox,1.46,8,eu,8,sec08,Aviation,EMEP_unprocessed
AL,2010,2010,I_Offroad,sox,130.71,8,eu,9,sec09,Offroad,EMEP_unprocessed
AL,2010,2010,J_Waste,sox,33.85,9,eu,10,sec10,Waste,EMEP_unprocessed
AL,2010,2010,L_AgriOther,sox,18.8500000000001,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AM,2010,2010,A_PublicPower,sox,14.73,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AM,2010,2010,B_Industry,sox,831.049999999999,3,eu,2,sec02,Industry,EMEP_unprocessed
AM,2010,2010,C_OtherStationaryComb,sox,1234.3,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AM,2010,2010,F_RoadTransport,sox,361.559999999999,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AM,2010,2010,H_Aviation,sox,4.2,8,eu,8,sec08,Aviation,EMEP_unprocessed
AM,2010,2010,J_Waste,sox,17.28,9,eu,10,sec10,Waste,EMEP_unprocessed
AM,2010,2010,L_AgriOther,sox,117.44,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AST,2010,2010,A_PublicPower,sox,2436892.40761265,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AST,2010,2010,B_Industry,sox,230854.609482643,3,eu,2,sec02,Industry,EMEP_unprocessed
AST,2010,2010,C_OtherStationaryComb,sox,1070838.61707836,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AST,2010,2010,D_Fugitive,sox,222.807640514871,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AST,2010,2010,E_Solvents,sox,15019.853042646,6,eu,5,sec05,Solvents,EMEP_unprocessed
AST,2010,2010,F_RoadTransport,sox,2427.83301943643,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AST,2010,2010,G_Shipping,sox,6004.34117536183,8,eu,7,sec07,Shipping,EMEP_unprocessed
AST,2010,2010,H_Aviation,sox,610.178048022172,8,eu,8,sec08,Aviation,EMEP_unprocessed
AST,2010,2010,I_Offroad,sox,50220.1174354435,8,eu,9,sec09,Offroad,EMEP_unprocessed
AST,2010,2010,J_Waste,sox,303.949114483477,9,eu,10,sec10,Waste,EMEP_unprocessed
AST,2010,2010,L_AgriOther,sox,7103.22725645837,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AT,2010,2010,A_PublicPower,sox,2117.99144985894,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AT,2010,2010,B_Industry,sox,10707.39219531,3,eu,2,sec02,Industry,EMEP_unprocessed
AT,2010,2010,C_OtherStationaryComb,sox,2755.40672169416,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AT,2010,2010,D_Fugitive,sox,47.65584,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AT,2010,2010,E_Solvents,sox,5.74500036,6,eu,5,sec05,Solvents,EMEP_unprocessed
AT,2010,2010,F_RoadTransport,sox,127.457198376686,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AT,2010,2010,G_Shipping,sox,21.7365226437499,8,eu,7,sec07,Shipping,EMEP_unprocessed
AT,2010,2010,H_Aviation,sox,96.6491404873731,8,eu,8,sec08,Aviation,EMEP_unprocessed
AT,2010,2010,I_Offroad,sox,84.9162269121728,8,eu,9,sec09,Offroad,EMEP_unprocessed
AT,2010,2010,J_Waste,sox,12.5609261416885,9,eu,10,sec10,Waste,EMEP_unprocessed
AT,2010,2010,L_AgriOther,sox,3.12024118629543,10,eu,12,sec12,AgriOther,EMEP_unprocessed
ATL,2010,2010,G_Shipping,sox,441654.140862255,8,eu,7,sec07,Shipping,EMEP_unprocessed
AZ,2010,2010,A_PublicPower,sox,362.83,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AZ,2010,2010,B_Industry,sox,27203.58,3,eu,2,sec02,Industry,EMEP_unprocessed
AZ,2010,2010,C_OtherStationaryComb,sox,882.719999999998,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AZ,2010,2010,D_Fugitive,sox,93.81,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AZ,2010,2010,F_RoadTransport,sox,5510.44,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AZ,2010,2010,G_Shipping,sox,336.79,8,eu,7,sec07,Shipping,EMEP_unprocessed
AZ,2010,2010,H_Aviation,sox,41.37,8,eu,8,sec08,Aviation,EMEP_unprocessed
AZ,2010,2010,I_Offroad,sox,3120.11,8,eu,9,sec09,Offroad,EMEP_unprocessed
AZ,2010,2010,J_Waste,sox,34.35,9,eu,10,sec10,Waste,EMEP_unprocessed
AZ,2010,2010,L_AgriOther,sox,99.8400000000002,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BA,2010,2010,A_PublicPower,sox,245710.66,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BA,2010,2010,B_Industry,sox,13912.2,3,eu,2,sec02,Industry,EMEP_unprocessed
BA,2010,2010,C_OtherStationaryComb,sox,17553.18,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BA,2010,2010,F_RoadTransport,sox,795.26,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BA,2010,2010,H_Aviation,sox,0.43,8,eu,8,sec08,Aviation,EMEP_unprocessed
BA,2010,2010,J_Waste,sox,52.3500000000001,9,eu,10,sec10,Waste,EMEP_unprocessed
BA,2010,2010,L_AgriOther,sox,47.39,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BAS,2010,2010,G_Shipping,sox,94685.5247728171,8,eu,7,sec07,Shipping,EMEP_unprocessed
BE,2010,2010,A_PublicPower,sox,2795.89817627342,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BE,2010,2010,B_Industry,sox,40915.8766117854,3,eu,2,sec02,Industry,EMEP_unprocessed
BE,2010,2010,C_OtherStationaryComb,sox,12215.100973492,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BE,2010,2010,D_Fugitive,sox,2724.57452,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BE,2010,2010,E_Solvents,sox,29.9476581241087,6,eu,5,sec05,Solvents,EMEP_unprocessed
BE,2010,2010,F_RoadTransport,sox,127.780337103681,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BE,2010,2010,G_Shipping,sox,1219.17254759288,8,eu,7,sec07,Shipping,EMEP_unprocessed
BE,2010,2010,H_Aviation,sox,93.7771471448422,8,eu,8,sec08,Aviation,EMEP_unprocessed
BE,2010,2010,I_Offroad,sox,323.484177581441,8,eu,9,sec09,Offroad,EMEP_unprocessed
BE,2010,2010,J_Waste,sox,48.3518169342521,9,eu,10,sec10,Waste,EMEP_unprocessed
BG,2010,2010,A_PublicPower,sox,275510.371231,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BG,2010,2010,B_Industry,sox,14608.4152430361,3,eu,2,sec02,Industry,EMEP_unprocessed
BG,2010,2010,C_OtherStationaryComb,sox,10357.8548103588,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BG,2010,2010,D_Fugitive,sox,3815.01995800001,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BG,2010,2010,E_Solvents,sox,27.0014475369585,6,eu,5,sec05,Solvents,EMEP_unprocessed
BG,2010,2010,F_RoadTransport,sox,82.2534149771464,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BG,2010,2010,G_Shipping,sox,987.455830584164,8,eu,7,sec07,Shipping,EMEP_unprocessed
BG,2010,2010,H_Aviation,sox,21.46980032818,8,eu,8,sec08,Aviation,EMEP_unprocessed
BG,2010,2010,I_Offroad,sox,6.0069679,8,eu,9,sec09,Offroad,EMEP_unprocessed
BG,2010,2010,J_Waste,sox,2.022247972,9,eu,10,sec10,Waste,EMEP_unprocessed
BG,2010,2010,L_AgriOther,sox,0.1816643945979,10,eu,12,sec12,AgriOther,EMEP_unprocessed
BLS,2010,2010,G_Shipping,sox,45713.0379145669,8,eu,7,sec07,Shipping,EMEP_unprocessed
BY,2010,2010,A_PublicPower,sox,14774.02,1,eu,1,sec01,PublicPower,EMEP_unprocessed
BY,2010,2010,B_Industry,sox,43263.9200000002,3,eu,2,sec02,Industry,EMEP_unprocessed
BY,2010,2010,C_OtherStationaryComb,sox,14117.85,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
BY,2010,2010,D_Fugitive,sox,0.28,5,eu,4,sec04,Fugitive,EMEP_unprocessed
BY,2010,2010,F_RoadTransport,sox,2288.89000000001,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
BY,2010,2010,I_Offroad,sox,1353.51,8,eu,9,sec09,Offroad,EMEP_unprocessed
BY,2010,2010,J_Waste,sox,99.7799999999999,9,eu,10,sec10,Waste,EMEP_unprocessed
BY,2010,2010,L_AgriOther,sox,356.11,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CAS,2010,2010,G_Shipping,sox,3327.97252839244,8,eu,7,sec07,Shipping,EMEP_unprocessed
CH,2010,2010,A_PublicPower,sox,288.709431147611,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CH,2010,2010,B_Industry,sox,5098.67860565846,3,eu,2,sec02,Industry,EMEP_unprocessed
CH,2010,2010,C_OtherStationaryComb,sox,4132.88116752531,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CH,2010,2010,D_Fugitive,sox,221.89971086124,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CH,2010,2010,E_Solvents,sox,6.9085,6,eu,5,sec05,Solvents,EMEP_unprocessed
CH,2010,2010,F_RoadTransport,sox,55.9119093922689,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CH,2010,2010,G_Shipping,sox,4.05355093968423,8,eu,7,sec07,Shipping,EMEP_unprocessed
CH,2010,2010,H_Aviation,sox,141.221144568582,8,eu,8,sec08,Aviation,EMEP_unprocessed
CH,2010,2010,I_Offroad,sox,41.6927082179336,8,eu,9,sec09,Offroad,EMEP_unprocessed
CH,2010,2010,J_Waste,sox,63.4639174932928,9,eu,10,sec10,Waste,EMEP_unprocessed
CH,2010,2010,M_Other,sox,7.42838800000001,11,eu,13,sec13,Other,EMEP_unprocessed
CY,2010,2010,A_PublicPower,sox,20344.5494564624,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CY,2010,2010,B_Industry,sox,1113.1515727028,3,eu,2,sec02,Industry,EMEP_unprocessed
CY,2010,2010,C_OtherStationaryComb,sox,249.790313154177,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CY,2010,2010,E_Solvents,sox,0.131823,6,eu,5,sec05,Solvents,EMEP_unprocessed
CY,2010,2010,F_RoadTransport,sox,14.486765820464,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CY,2010,2010,G_Shipping,sox,1.89372789875302,8,eu,7,sec07,Shipping,EMEP_unprocessed
CY,2010,2010,H_Aviation,sox,22.756962647458,8,eu,8,sec08,Aviation,EMEP_unprocessed
CY,2010,2010,I_Offroad,sox,23.9374978522241,8,eu,9,sec09,Offroad,EMEP_unprocessed
CY,2010,2010,J_Waste,sox,0.0737493844355291,9,eu,10,sec10,Waste,EMEP_unprocessed
CY,2010,2010,L_AgriOther,sox,0.987,10,eu,12,sec12,AgriOther,EMEP_unprocessed
CZ,2010,2010,A_PublicPower,sox,103745.873535,1,eu,1,sec01,PublicPower,EMEP_unprocessed
CZ,2010,2010,B_Industry,sox,28190.9785850276,3,eu,2,sec02,Industry,EMEP_unprocessed
CZ,2010,2010,C_OtherStationaryComb,sox,27382.61383119,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
CZ,2010,2010,D_Fugitive,sox,4374.19400000001,5,eu,4,sec04,Fugitive,EMEP_unprocessed
CZ,2010,2010,E_Solvents,sox,3.86620701999999,6,eu,5,sec05,Solvents,EMEP_unprocessed
CZ,2010,2010,F_RoadTransport,sox,114.408113997444,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
CZ,2010,2010,G_Shipping,sox,0.08,8,eu,7,sec07,Shipping,EMEP_unprocessed
CZ,2010,2010,H_Aviation,sox,41.3558397403901,8,eu,8,sec08,Aviation,EMEP_unprocessed
CZ,2010,2010,I_Offroad,sox,9.5945349086,8,eu,9,sec09,Offroad,EMEP_unprocessed
