iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec01,A_PublicPower,0.2,0.2,0.2,0.2,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec02,B_Industry,2.89,2.89,2.89,2.89,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec03,C_OtherStationaryComb,68.3799999999999,68.38,68.3799999999999,68.3799999999999,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec04,D_Fugitive,0.36,0.36,0.36,0.36,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec06,F_RoadTransport,97.4100000000001,97.41,97.4100000000001,97.4100000000001,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec07,G_Shipping,0.75,0.75,0.75,0.75,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec09,I_Offroad,0.510000000000001,0.510000000000001,0.510000000000001,0.510000000000001,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec10,J_Waste,0,0,0,0,
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec11,K_AgriLivestock,6822,6822,6822,6822,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec12,L_AgriOther,9682.38000000001,9682.38000000001,9682.38000000001,9682.38000000001,1
AL,1,nh3,NetCDF_input,2015,2024,allISO,annual,sec13,M_Other,447.2,447.2,447.2,447.2,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec01,A_PublicPower,1.38,1.38,1.38,1.38,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec02,B_Industry,44.9899999999999,44.9899999999999,44.9899999999999,44.9899999999999,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec03,C_OtherStationaryComb,75.09,75.09,75.09,75.09,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec06,F_RoadTransport,62.83,62.83,62.83,62.83,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec07,G_Shipping,0,0,0,0,
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec09,I_Offroad,0.24,0.24,0.24,0.24,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec10,J_Waste,0,0,0,0,
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec11,K_AgriLivestock,5126.73,5126.73,5126.73,5126.73,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec12,L_AgriOther,7998.02000000001,7998.02000000001,7998.02000000001,7998.02000000001,1
AM,56,nh3,NetCDF_input,2015,2024,allISO,annual,sec13,M_Other,939.799999999999,939.8,939.799999999999,939.799999999999,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec01,A_PublicPower,8215.76495657481,8215.76495657482,8215.76495657481,8215.76495657481,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec02,B_Industry,11262.6538893648,11262.6538893648,11262.6538893648,11262.6538893648,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec03,C_OtherStationaryComb,178018.380902927,178018.380902925,178018.380902927,178018.380902927,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec05,E_Solvents,10070.1068416526,10070.1068416526,10070.1068416526,10070.1068416526,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec06,F_RoadTransport,30974.0128599049,30974.0128599049,30974.0128599049,30974.0128599049,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec07,G_Shipping,0.921226266036069,0.921226266036069,0.921226266036069,0.921226266036069,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec08,H_Aviation,85.4295825244497,85.4295825244497,85.4295825244497,85.4295825244497,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec09,I_Offroad,44.5471126248551,44.5471126248551,44.5471126248551,44.5471126248551,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec10,J_Waste,3491.31564065014,3491.31564065011,3491.31564065014,3491.31564065014,1
AST,96,nh3,NetCDF_input,2015,2024,allISO,annual,sec11,K_AgriLivestock,312695.143146469,312695.143146467,312695.143146469,312695.143146469,1
