ISO,Year,EMEP_data,GNFR,Pollutant,emis_t,SNAP,Region,EMEP_Sector,sec_long,long_name,Data_source
AL,2015,2015,A_PublicPower,pmco,2.46,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AL,2015,2015,B_Industry,pmco,652.69,3,eu,2,sec02,Industry,EMEP_unprocessed
AL,2015,2015,C_OtherStationaryComb,pmco,158.6,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AL,2015,2015,D_Fugitive,pmco,17.83,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AL,2015,2015,F_RoadTransport,pmco,282.52,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AL,2015,2015,G_Shipping,pmco,8.67999999999999,8,eu,7,sec07,Shipping,EMEP_unprocessed
AL,2015,2015,I_Offroad,pmco,9.49,8,eu,9,sec09,Offroad,EMEP_unprocessed
AL,2015,2015,J_Waste,pmco,121.85,9,eu,10,sec10,Waste,EMEP_unprocessed
AL,2015,2015,K_AgriLivestock,pmco,558.88,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AL,2015,2015,L_AgriOther,pmco,479.44,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AM,2015,2015,A_PublicPower,pmco,0.439999999999999,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AM,2015,2015,B_Industry,pmco,826.72,3,eu,2,sec02,Industry,EMEP_unprocessed
AM,2015,2015,C_OtherStationaryComb,pmco,203.040000000001,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AM,2015,2015,D_Fugitive,pmco,0.869999999999998,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AM,2015,2015,F_RoadTransport,pmco,135.89,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AM,2015,2015,H_Aviation,pmco,0.05,8,eu,8,sec08,Aviation,EMEP_unprocessed
AM,2015,2015,I_Offroad,pmco,5.58,8,eu,9,sec09,Offroad,EMEP_unprocessed
AM,2015,2015,J_Waste,pmco,57.02,9,eu,10,sec10,Waste,EMEP_unprocessed
AM,2015,2015,K_AgriLivestock,pmco,447.63,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AM,2015,2015,L_AgriOther,pmco,520.11,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AST,2015,2015,A_PublicPower,pmco,37917.9758368408,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AST,2015,2015,B_Industry,pmco,83736.6213192358,3,eu,2,sec02,Industry,EMEP_unprocessed
AST,2015,2015,C_OtherStationaryComb,pmco,464723.175489619,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AST,2015,2015,D_Fugitive,pmco,59.268205505261,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AST,2015,2015,F_RoadTransport,pmco,13862.2636146579,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AST,2015,2015,I_Offroad,pmco,1.81732233810017,8,eu,9,sec09,Offroad,EMEP_unprocessed
AST,2015,2015,J_Waste,pmco,1094.93157033437,9,eu,10,sec10,Waste,EMEP_unprocessed
AST,2015,2015,K_AgriLivestock,pmco,69718.0299973637,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AST,2015,2015,L_AgriOther,pmco,9445.90098212804,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AT,2015,2015,A_PublicPower,pmco,181.022680970505,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AT,2015,2015,B_Industry,pmco,7687.48281318278,3,eu,2,sec02,Industry,EMEP_unprocessed
AT,2015,2015,C_OtherStationaryComb,pmco,422.62499704906,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AT,2015,2015,D_Fugitive,pmco,144.255867875,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AT,2015,2015,E_Solvents,pmco,9.03845647144997,6,eu,5,sec05,Solvents,EMEP_unprocessed
AT,2015,2015,F_RoadTransport,pmco,1546.34526006846,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AT,2015,2015,I_Offroad,pmco,311.22157555507,8,eu,9,sec09,Offroad,EMEP_unprocessed
AT,2015,2015,J_Waste,pmco,147.134639760887,9,eu,10,sec10,Waste,EMEP_unprocessed
AT,2015,2015,K_AgriLivestock,pmco,388.713922235973,10,eu,11,sec11,AgriLivestock,EMEP_unprocessed
AT,2015,2015,L_AgriOther,pmco,3272.00921746771,10,eu,12,sec12,AgriOther,EMEP_unprocessed
AZ,2015,2015,A_PublicPower,pmco,62.23,1,eu,1,sec01,PublicPower,EMEP_unprocessed
AZ,2015,2015,B_Industry,pmco,2204.17,3,eu,2,sec02,Industry,EMEP_unprocessed
AZ,2015,2015,C_OtherStationaryComb,pmco,63.5,2,eu,3,sec03,OtherStationaryComb,EMEP_unprocessed
AZ,2015,2015,D_Fugitive,pmco,0.460000000000127,5,eu,4,sec04,Fugitive,EMEP_unprocessed
AZ,2015,2015,F_RoadTransport,pmco,511.59,7,eu,6,sec06,RoadTransport,EMEP_unprocessed
AZ,2015,2015,G_Shipping,pmco,6.21000000000002,8,eu,7,sec07,Shipping,EMEP_unprocessed
AZ,2015,2015,H_Aviation,pmco,0.61,8,eu,8,sec08,Aviation,EMEP_unprocessed
AZ,2015,2015,I_Offroad,pmco,78.4900000000002,8,eu,9,sec09,Offroad,EMEP_unprocessed
