iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,0,0,0,0,
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,6935.38,6935.38,6935.38,6935.38,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,821.92,821.92,821.92,821.92,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,66.11,66.11,66.11,66.11,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,11384.33,11384.33,11384.33,11384.33,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,1812.77,1812.77,1812.77,1812.77,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,1.43,1.43,1.43,1.43,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,1817.12,1817.12,1817.12,1817.12,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,181.35,181.35,181.35,181.35,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,2359.67,2359.67,2359.67,2359.67,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,1471.7,1471.7,1471.7,1471.7,1
AL,1,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,900,900,900,900,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,2097.08,2097.08,2097.08,2097.08,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,7745.58999999999,7745.59,7745.58999999999,7745.58999999999,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,2071.92,2071.92,2071.92,2071.92,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec06,F_RoadTransport,8065.12,8065.12,8065.12,8065.12,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec07,G_Shipping,0,0,0,0,
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec09,I_Offroad,167.23,167.23,167.23,167.23,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec10,J_Waste,76.07,76.07,76.07,76.07,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec11,K_AgriLivestock,1739.45,1739.45,1739.45,1739.45,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec12,L_AgriOther,700.030000000001,700.03,700.030000000001,700.030000000001,1
AM,56,nox,NetCDF_input,2020,2024,allISO,annual,sec13,M_Other,0,0,0,0,
AST,96,nox,NetCDF_input,2020,2024,allISO,annual,sec01,A_PublicPower,1522039.20651214,1522039.20651214,1522039.20651214,1522039.20651214,1
AST,96,nox,NetCDF_input,2020,2024,allISO,annual,sec02,B_Industry,129683.38637923,129683.38637923,129683.38637923,129683.38637923,1
AST,96,nox,NetCDF_input,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,931613.895233505,931613.895233508,931613.895233505,931613.895233505,1
