iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,0,0,0,0,
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,1390.53436586221,1390.53436586221,1390.53436586221,1390.53436586221,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec03,C_OtherStationaryComb,3327.11243780133,3327.11243780133,3327.11243780133,3327.11243780133,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec04,D_Fugitive,126.257019219615,126.257019219615,126.257019219615,126.257019219615,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec05,E_Solvents,360.024590439548,360.024590439548,360.024590439548,360.024590439548,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec06,F_RoadTransport,491.26142363198,491.26142363198,491.26142363198,491.26142363198,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec07,G_Shipping,176.044464543397,176.044464543397,176.044464543397,176.044464543397,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec08,H_Aviation,0.132849902554489,0.132849902554489,0.132849902554489,0.132849902554489,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec09,I_Offroad,168.687729751271,168.687729751271,168.687729751271,168.687729751271,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec10,J_Waste,1495.27999984128,1495.27999984128,1495.27999984128,1495.27999984128,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec11,K_AgriLivestock,170.460000004232,170.460000004232,170.460000004232,170.460000004232,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec12,L_AgriOther,608.670000037948,608.670000037949,608.670000037948,608.670000037948,1
AL,1,pm25,NetCDF_input,2021,2024,allISO,annual,sec13,M_Other,0,0,0,0,
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,11.834157898466,11.834157898466,11.834157898466,11.834157898466,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,1250.70684853455,1250.70684853455,1250.70684853455,1250.70684853455,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec03,C_OtherStationaryComb,7045.24227245956,7045.24227245957,7045.24227245956,7045.24227245956,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec04,D_Fugitive,0.0873312352283788,0.0873312352283788,0.0873312352283788,0.0873312352283788,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec05,E_Solvents,427.022906504992,427.022906504992,427.022906504992,427.022906504992,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec06,F_RoadTransport,761.049551013874,761.049551013874,761.049551013874,761.049551013874,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec07,G_Shipping,0,0,0,0,
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec08,H_Aviation,1.6570318675659,1.6570318675659,1.6570318675659,1.6570318675659,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec09,I_Offroad,22.5851249731839,22.5851249731839,22.5851249731839,22.5851249731839,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec10,J_Waste,627.179978191241,627.179978191241,627.179978191241,627.179978191241,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec11,K_AgriLivestock,150.740000001017,150.740000001017,150.740000001017,150.740000001017,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec12,L_AgriOther,1416.43000005319,1416.43000005319,1416.43000005319,1416.43000005319,1
AM,56,pm25,NetCDF_input,2021,2024,allISO,annual,sec13,M_Other,0,0,0,0,
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,82107.9236488235,82107.9236488234,82107.9236488235,82107.9236488235,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,94891.3478508107,94891.3478508109,94891.3478508107,94891.3478508107,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec03,C_OtherStationaryComb,790744.897492458,790744.897492466,790744.897492458,790744.897492458,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec04,D_Fugitive,654.786318374497,654.786318374498,654.786318374497,654.786318374497,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec05,E_Solvents,5047.93326579393,5047.9332657939,5047.93326579393,5047.93326579393,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec06,F_RoadTransport,56528.9673470874,56528.9673470874,56528.9673470874,56528.9673470874,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec07,G_Shipping,2226.10304306941,2226.10304306941,2226.10304306941,2226.10304306941,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec08,H_Aviation,80.6696173208973,80.6696173208974,80.6696173208973,80.6696173208973,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec09,I_Offroad,10913.3291128881,10913.3291128881,10913.3291128881,10913.3291128881,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec10,J_Waste,2527.68648157024,2527.68648157024,2527.68648157024,2527.68648157024,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec11,K_AgriLivestock,17759.8848717082,17759.884871708,17759.8848717082,17759.8848717082,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec12,L_AgriOther,130689.931314223,130689.931314224,130689.931314223,130689.931314223,1
AST,96,pm25,NetCDF_input,2021,2024,allISO,annual,sec13,M_Other,0,0,0,0,
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,872.662619369573,872.662619369573,872.662619369573,872.662619369573,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,2262.35890840753,2262.35890840753,2262.35890840753,2262.35890840753,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec03,C_OtherStationaryComb,7412.17205906203,7412.17205906204,7412.17205906203,7412.17205906203,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec04,D_Fugitive,52.186395137,52.186395137,52.186395137,52.186395137,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec05,E_Solvents,384.932230762245,384.932230762245,384.932230762245,384.932230762245,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec06,F_RoadTransport,2508.45469813027,2508.45469813027,2508.45469813027,2508.45469813027,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec07,G_Shipping,35.9761928890465,35.9761928890465,35.9761928890465,35.9761928890465,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec08,H_Aviation,62.7555574884253,62.7555574884253,62.7555574884253,62.7555574884253,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec09,I_Offroad,684.417405767324,684.417405767325,684.417405767324,684.417405767324,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec10,J_Waste,350.118258832633,350.118258832634,350.118258832633,350.118258832633,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec11,K_AgriLivestock,114.637572295385,114.637572295385,114.637572295385,114.637572295385,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec12,L_AgriOther,135.520512032596,135.520512032596,135.520512032596,135.520512032596,1
AT,2,pm25,NetCDF_input,2021,2024,allISO,annual,sec13,M_Other,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec03,C_OtherStationaryComb,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec04,D_Fugitive,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec05,E_Solvents,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec06,F_RoadTransport,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec07,G_Shipping,8717.28085878391,8717.28085878411,8717.28085878391,8717.28085878391,1
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec08,H_Aviation,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec09,I_Offroad,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec10,J_Waste,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec11,K_AgriLivestock,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec12,L_AgriOther,0,0,0,0,
ATL,32,pm25,NetCDF_input,2021,2024,allISO,annual,sec13,M_Other,0,0,0,0,
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,339.581726393021,339.581726393022,339.581726393021,339.581726393021,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,3924.40071723917,3924.40071723917,3924.40071723917,3924.40071723917,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec03,C_OtherStationaryComb,1590.52444742443,1590.52444742443,1590.52444742443,1590.52444742443,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec04,D_Fugitive,1059.05157925442,1059.05157925442,1059.05157925442,1059.05157925442,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec05,E_Solvents,1387.66022281812,1387.66022281812,1387.66022281812,1387.66022281812,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec06,F_RoadTransport,5744.39570084044,5744.39570084043,5744.39570084044,5744.39570084044,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec07,G_Shipping,142.08990110277,142.08990110277,142.08990110277,142.08990110277,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec08,H_Aviation,20.0638248062173,20.0638248062173,20.0638248062173,20.0638248062173,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec09,I_Offroad,404.998817004955,404.998817004955,404.998817004955,404.998817004955,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec10,J_Waste,1583.7500130893,1583.7500130893,1583.7500130893,1583.7500130893,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec11,K_AgriLivestock,519.589999963634,519.589999963633,519.589999963634,519.589999963634,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec12,L_AgriOther,2842.52000019821,2842.52000019821,2842.52000019821,2842.52000019821,1
AZ,69,pm25,NetCDF_input,2021,2024,allISO,annual,sec13,M_Other,0,0,0,0,
BA,50,pm25,NetCDF_input,2021,2024,allISO,annual,sec01,A_PublicPower,4910.13708298149,4910.13708298149,4910.13708298149,4910.13708298149,1
BA,50,pm25,NetCDF_input,2021,2024,allISO,annual,sec02,B_Industry,3144.55526651623,3144.55526651623,3144.55526651623,3144.55526651623,1
