iso_char,iso_code,Pollutant,Data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncoutput,t1,tsum,tot_tres_ratio
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,0,0,0,
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,1417.523229782,1417.523229782,1417.523229782,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,3068.67692247819,3068.67692247819,3068.67692247819,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,125.264423131943,125.264423131943,125.264423131943,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,350.883507651699,350.883507651699,350.883507651699,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,424.051708192685,424.051708192685,424.051708192685,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,180.437358327283,180.437358327283,180.437358327283,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,0.153419882059097,0.153419882059097,0.153419882059097,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,164.951275523228,164.951275523228,164.951275523228,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec10,J_Waste,1514.08201536979,1514.08201536979,1514.08201536979,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec11,K_AgriLivestock,173.473999535992,173.473999535992,173.473999535992,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec12,L_AgriOther,603.175995136961,603.175995136961,603.175995136961,1
AL,1,pm25,NetCDF_output,2022,2024,allISO,annual,sec13,M_Other,0,0,0,
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,12.4069899253959,12.4069899253959,12.4069899253959,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,1283.1182223276,1283.1182223276,1283.1182223276,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,7199.69072928713,7199.69072928713,7199.69072928713,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,0.0847974820535455,0.0847974820535455,0.0847974820535455,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,429.521499633789,429.521499633789,429.521499633789,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,742.167461640139,742.167461640139,742.167461640139,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,0,0,0,
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,1.89443820735379,1.89443820735379,1.89443820735379,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec09,I_Offroad,14.9433973623993,14.9433973623993,14.9433973623993,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec10,J_Waste,621.463977656385,621.463977656385,621.463977656385,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec11,K_AgriLivestock,155.754000819703,155.754000819703,155.754000819703,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec12,L_AgriOther,1425.53800142448,1425.53800142448,1425.53800142448,1
AM,56,pm25,NetCDF_output,2022,2024,allISO,annual,sec13,M_Other,0,0,0,
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec01,A_PublicPower,84562.1987364075,84562.1987364075,84562.1987364075,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec02,B_Industry,97727.7297397924,97727.7297397924,97727.7297397924,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec03,C_OtherStationaryComb,814380.928242634,814380.928242634,814380.928242634,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec04,D_Fugitive,674.358427479121,674.358427479121,674.358427479121,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec05,E_Solvents,5198.82024222195,5198.82024222195,5198.82024222195,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec06,F_RoadTransport,58218.6656946687,58218.6656946687,58218.6656946687,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec07,G_Shipping,2292.64314703946,2292.64314703946,2292.64314703946,1
AST,96,pm25,NetCDF_output,2022,2024,allISO,annual,sec08,H_Aviation,83.0809001350695,83.0809001350695,83.0809001350695,1
