Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,tsum,tot_tres_ratio
uk,nh3,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,98.4810572979489,98.4810572979489,98.4810572979489,1
ie,nh3,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
sea,nh3,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ow,nh3,grouped,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
uk,nh3,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,4932.60160527144,4932.60160527144,4932.60160527144,1
ie,nh3,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,112.332311913121,112.332311913121,112.332311913121,1
sea,nh3,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,0.00383329873280361,0.00383329873280361,0.00383329873280361,1
ow,nh3,grouped,2010,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,nh3,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,302.076757584665,302.076757584665,302.076757584665,1
ie,nh3,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,125.776573219231,125.776573219231,125.776573219231,1
sea,nh3,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.00997760204990626,0.00997760204990626,0.00997760204990626,1
ow,nh3,grouped,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,nh3,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,nh3,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
sea,nh3,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ow,nh3,grouped,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,nh3,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,1419.15229936608,1419.15229936608,1419.15229936608,1
ie,nh3,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,20.9076890025,20.9076890025,20.9076890025,1
sea,nh3,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,0.184605344402519,0.184605344402519,0.184605344402519,1
ow,nh3,grouped,2010,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,nh3,grouped,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,11046.1580961548,11046.1580961548,11046.1580961548,1
