Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,pm25,inventory,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,621.523892684621,6975.28007298237,7596.80396566699,5532.81005525242,5532.81005525277
ie,all,pm25,inventory,2010,2024,sec01,A_PublicPower,1,PublicPower,annual,240.696674855659,,240.696674855659,457.272801035573,457.272801035573
uk,all,pm25,inventory,2010,2024,sec02,B_Industry,3,Industry,annual,9194.39764090239,8628.92414627344,17823.3217871758,17175.533538595,17175.5335385947
ie,all,pm25,inventory,2010,2024,sec02,B_Industry,3,Industry,annual,1921.5939271654,,1921.5939271654,2664.63467114738,2664.63467114733
uk,all,pm25,inventory,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,20580.0549246231,242.61294462482,20822.6678692479,17885.0908708488,17885.0908708483
ie,all,pm25,inventory,2010,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,6695.7070131136,,6695.7070131136,8729.44626992333,8729.44626992345
uk,all,pm25,inventory,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,4.72382468730211,,4.72382468730211,115.148600063415,115.148600063415
ie,all,pm25,inventory,2010,2024,sec04,D_Fugitive,5,Fugitive,annual,12.8610413819551,,12.8610413819551,13.1838658457194,13.1838658457194
uk,all,pm25,inventory,2010,2024,sec05,E_Solvents,6,Solvents,annual,1651.26590680525,,1651.26590680525,2230.71200848364,2230.71200848361
ie,all,pm25,inventory,2010,2024,sec05,E_Solvents,6,Solvents,annual,121.167985194379,,121.167985194379,155.255577504489,155.255577504487
uk,all,pm25,inventory,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,11589.4431675674,,11589.4431675674,26944.0274319262,26944.0274319265
ie,all,pm25,inventory,2010,2024,sec06,F_RoadTransport,7,RoadTransport,annual,1432.85420623711,,1432.85420623711,2304.12307973593,2304.12307973595
uk,all,pm25,inventory,2010,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,pm25,inventory,2010,2024,sec07,G_Shipping,8,Shipping,annual,120.957296894793,,120.957296894793,53.2739101619138,53.2739101619142
uk,all,pm25,inventory,2010,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,pm25,inventory,2010,2024,sec08,H_Aviation,8,Aviation,annual,7.47684564110996,,7.47684564110996,8.0584448625965,8.0584448625965
uk,all,pm25,inventory,2010,2024,sec09,I_Offroad,8,Offroad,annual,6329.05217737979,,6329.05217737979,20812.4620369088,20812.4620369084
ie,all,pm25,inventory,2010,2024,sec09,I_Offroad,8,Offroad,annual,148.685714073345,,148.685714073345,352.142542903962,352.142542903997
uk,all,pm25,inventory,2010,2024,sec10,J_Waste,9,Waste,annual,4727.22446584099,13.713186,4740.937651841,5157.91596773085,5157.91596773086
ie,all,pm25,inventory,2010,2024,sec10,J_Waste,9,Waste,annual,248.790694864201,,248.790694864201,428.44527108863,428.445271088631
uk,all,pm25,inventory,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,2772.41112102375,,2772.41112102375,2782.23343319824,2782.23343319826
ie,all,pm25,inventory,2010,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,634.379510225732,,634.379510225732,680.389589634747,680.389589634754
uk,all,pm25,inventory,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,pm25,inventory,2010,2024,sec12,L_AgriOther,10,AgriOther,annual,287.103626662048,,287.103626662048,50.3605,50.360500000001
uk,all,pm25,inventory,2010,2024,sec13,M_Other,11,Other,annual,1703.36751432829,,1703.36751432829,2637.99182325363,2637.99182325366
ie,all,pm25,inventory,2010,2024,sec13,M_Other,11,Other,annual,,,,0,0
