Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec01_annual,sec01,A_PublicPower,231829.460578066,231829.460578066,231829.460578066,231829.460578066,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec02_annual,sec02,B_Industry,137313.490434997,137313.490434997,137313.490434997,137313.490434997,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec03_annual,sec03,C_OtherStationaryComb,38468.3428058127,38468.3428058128,38468.3428058127,38468.3428058127,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec04_annual,sec04,D_Fugitive,0,0,0,0,
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec05_annual,sec05,E_Solvents,783.769253917211,783.769253917201,783.769253917211,783.769253917211,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec06_annual,sec06,F_RoadTransport,478.405835922938,478.405835922944,478.405835922938,478.405835922938,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec09_annual,sec09,I_Offroad,25582.8457224077,25582.8457224079,25582.8457224077,25582.8457224077,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec10_annual,sec10,J_Waste,1323.77447985547,1323.77447985544,1323.77447985547,1323.77447985547,1
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec11_annual,sec11,K_AgriLivestock,0,0,0,0,
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,sox,NetCDF_input,2010,2024,allISO,annual,uk_sox_sec13_annual,sec13,M_Other,0,0,0,0,
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec01_annual,sec01,A_PublicPower,9783.41968658603,9783.41968658603,9783.41968658603,9783.41968658603,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec02_annual,sec02,B_Industry,7394.96439728592,7394.9643972859,7394.96439728592,7394.96439728592,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec03_annual,sec03,C_OtherStationaryComb,9639.97670293912,9639.97670293925,9639.97670293912,9639.97670293912,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec04_annual,sec04,D_Fugitive,0,0,0,0,
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec05_annual,sec05,E_Solvents,0.137780903822803,0.137780903822801,0.137780903822803,0.137780903822803,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec06_annual,sec06,F_RoadTransport,41.704902003019,41.7049020030187,41.704902003019,41.704902003019,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec07_annual,sec07,G_Shipping,21.5119821190143,21.5119821190141,21.5119821190143,21.5119821190143,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec08_annual,sec08,H_Aviation,66.3972170337437,66.3972170337439,66.3972170337437,66.3972170337437,1
IE,14,sox,NetCDF_input,2010,2024,allISO,annual,ie_sox_sec09_annual,sec09,I_Offroad,379.384489353806,379.384489353806,379.384489353806,379.384489353806,1
