Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,tsum,tot_tres_ratio
uk,co,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,67165.7932552346,67165.7932552346,67165.7932552346,1
ie,co,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,17866.4367514046,17866.4367514046,17866.4367514046,1
sea,co,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,66.4325678256709,66.4325678256709,66.4325678256709,1
ow,co,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,26529.9803295506,26529.9803295506,26529.9803295506,1
uk,co,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,367804.61021812,367804.61021812,367804.61021812,1
ie,co,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,9215.77612840824,9215.77612840824,9215.77612840824,1
sea,co,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,0.556873371455122,0.556873371455122,0.556873371455122,1
ow,co,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,co,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,241075.640515896,241075.640515896,241075.640515896,1
ie,co,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,98505.213563892,98505.213563892,98505.213563892,1
sea,co,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,2.81101832464867,2.81101832464867,2.81101832464867,1
ow,co,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,co,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,co,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
sea,co,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ow,co,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,503.95,503.95,503.95,1
uk,co,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,2190.51151106081,2190.51151106081,2190.51151106081,1
ie,co,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,230.178370098001,230.178370098001,230.178370098001,1
sea,co,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,0.00135478937489168,0.00135478937489168,0.00135478937489168,1
ow,co,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,co,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,463180.273979874,463180.273979874,463180.273979874,1
ie,co,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,54993.1966271784,54993.1966271784,54993.1966271784,1
sea,co,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0.856140504219254,0.856140504219254,0.856140504219254,1
ow,co,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
uk,co,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
