Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec01_annual,sec01,A_PublicPower,213685.351588208,213685.351588206,213685.351588208,213685.351588208,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec02_annual,sec02,B_Industry,96856.9070439398,96856.9070439388,96856.9070439398,96856.9070439398,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec03_annual,sec03,C_OtherStationaryComb,75662.9873519432,75662.9873519428,75662.9873519432,75662.9873519432,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec04_annual,sec04,D_Fugitive,0,0,0,0,
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec05_annual,sec05,E_Solvents,71.8502361190281,71.8502361190289,71.8502361190281,71.8502361190281,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec06_annual,sec06,F_RoadTransport,345227.722757729,345227.722757726,345227.722757729,345227.722757729,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec09_annual,sec09,I_Offroad,114180.04052702,114180.040527023,114180.04052702,114180.04052702,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec10_annual,sec10,J_Waste,3534.47805065528,3534.47805065523,3534.47805065528,3534.47805065528,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec11_annual,sec11,K_AgriLivestock,28214.0683183369,28214.0683183362,28214.0683183369,28214.0683183369,1
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,nox,NetCDF_input,2015,2024,allISO,annual,uk_nox_sec13_annual,sec13,M_Other,1906.55136153418,1906.55136153415,1906.55136153418,1906.55136153418,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec01_annual,sec01,A_PublicPower,9819.43933286183,9819.43933286183,9819.43933286183,9819.43933286183,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec02_annual,sec02,B_Industry,10928.5079510939,10928.5079510939,10928.5079510939,10928.5079510939,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec03_annual,sec03,C_OtherStationaryComb,7881.64969271147,7881.64969271157,7881.64969271147,7881.64969271147,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec04_annual,sec04,D_Fugitive,0,0,0,0,
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec05_annual,sec05,E_Solvents,7.52020672879992,7.5202067288,7.52020672879992,7.52020672879992,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec06_annual,sec06,F_RoadTransport,41811.6559989222,41811.6559989222,41811.6559989222,41811.6559989222,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec07_annual,sec07,G_Shipping,844.878530354389,844.878530354393,844.878530354389,844.878530354389,1
IE,14,nox,NetCDF_input,2015,2024,allISO,annual,ie_nox_sec08_annual,sec08,H_Aviation,1163.70565333871,1163.70565333871,1163.70565333871,1163.70565333871,1
