Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec01_annual,sec01,A_PublicPower,2079.53202358761,2079.53202358771,2079.53202358761,2079.53202358761,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec02_annual,sec02,B_Industry,35582.9743990059,35582.974399007,35582.9743990059,35582.9743990059,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec03_annual,sec03,C_OtherStationaryComb,492.547277289168,492.54727728918,492.547277289168,492.547277289168,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec04_annual,sec04,D_Fugitive,342.83747246196,342.83747246196,342.83747246196,342.83747246196,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec05_annual,sec05,E_Solvents,1048.71830609593,1048.71830609589,1048.71830609593,1048.71830609593,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec06_annual,sec06,F_RoadTransport,23946.9944334707,23946.9944334716,23946.9944334707,23946.9944334707,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec09_annual,sec09,I_Offroad,197.872914634947,197.872914634938,197.872914634947,197.872914634947,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec10_annual,sec10,J_Waste,389.592126464144,389.592126464131,389.592126464144,389.592126464144,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec11_annual,sec11,K_AgriLivestock,12601.4462918052,12601.4462918046,12601.4462918052,12601.4462918052,1
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,pmco,NetCDF_input,2015,2024,allISO,annual,uk_pmco_sec13_annual,sec13,M_Other,272.666054871475,272.666054871475,272.666054871475,272.666054871475,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec01_annual,sec01,A_PublicPower,237.697870983874,237.697870983874,237.697870983874,237.697870983874,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec02_annual,sec02,B_Industry,5784.67416277646,5784.67416277646,5784.67416277646,5784.67416277646,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec03_annual,sec03,C_OtherStationaryComb,52.6941592681906,52.6941592681914,52.6941592681906,52.6941592681906,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec04_annual,sec04,D_Fugitive,119.702600073888,119.702600073888,119.702600073888,119.702600073888,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec05_annual,sec05,E_Solvents,13.3647344583995,13.3647344584,13.3647344583995,13.3647344583995,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec06_annual,sec06,F_RoadTransport,839.109591187213,839.10959118722,839.109591187213,839.109591187213,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec07_annual,sec07,G_Shipping,2.33107019060341,2.3310701906034,2.33107019060341,2.33107019060341,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec08_annual,sec08,H_Aviation,0,0,0,0,
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec09_annual,sec09,I_Offroad,1.84023073889383,1.84023073889383,1.84023073889383,1.84023073889383,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec10_annual,sec10,J_Waste,0.158641257540011,0.158641257540012,0.158641257540011,0.158641257540011,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec11_annual,sec11,K_AgriLivestock,1029.02062423311,1029.02062423312,1029.02062423311,1029.02062423311,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec12_annual,sec12,L_AgriOther,1118.88959017858,1118.88959017857,1118.88959017858,1118.88959017858,1
IE,14,pmco,NetCDF_input,2015,2024,allISO,annual,ie_pmco_sec13_annual,sec13,M_Other,0,0,0,0,
SEA,171,pmco,NetCDF_input,2015,2024,allISO,annual,sea_pmco_sec01_annual,sec01,A_PublicPower,0.1290955397629,0.1290955397629,0.1290955397629,0.1290955397629,1
SEA,171,pmco,NetCDF_input,2015,2024,allISO,annual,sea_pmco_sec02_annual,sec02,B_Industry,8.81060322427565,8.81060322427565,8.81060322427565,8.81060322427565,1
SEA,171,pmco,NetCDF_input,2015,2024,allISO,annual,sea_pmco_sec03_annual,sec03,C_OtherStationaryComb,0.00533432073116748,0.00533432073116749,0.00533432073116748,0.00533432073116748,1
SEA,171,pmco,NetCDF_input,2015,2024,allISO,annual,sea_pmco_sec04_annual,sec04,D_Fugitive,0,0,0,0,
