Area,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_grouped,t1,tsum,tot_tres_ratio
uk,pmco,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,2079.53202358784,2079.53202358784,2079.53202358784,1
ie,pmco,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,237.697870983874,237.697870983874,237.697870983874,1
sea,pmco,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,0.1290955397629,0.1290955397629,0.1290955397629,1
ow,pmco,grouped,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,44.5927050936725,44.5927050936725,44.5927050936725,1
uk,pmco,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,35582.9743990068,35582.9743990068,35582.9743990068,1
ie,pmco,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,5784.6741627764,5784.6741627764,5784.6741627764,1
sea,pmco,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,8.81060322427565,8.81060322427565,8.81060322427565,1
ow,pmco,grouped,2015,2024,sec02,B_Industry,3,Industry,annual,0.00170170787756448,0.00170170787756448,0.00170170787756448,1
uk,pmco,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,492.54727728918,492.54727728918,492.54727728918,1
ie,pmco,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,52.6941592681919,52.6941592681919,52.6941592681919,1
sea,pmco,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.00533432073116749,0.00533432073116749,0.00533432073116749,1
ow,pmco,grouped,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,342.83747246196,342.83747246196,342.83747246196,1
ie,pmco,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,119.702600073888,119.702600073888,119.702600073888,1
sea,pmco,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ow,pmco,grouped,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,1048.71830609592,1048.71830609592,1048.71830609592,1
ie,pmco,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,13.3647344584001,13.3647344584001,13.3647344584001,1
sea,pmco,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,0.000614104906601067,0.000614104906601067,0.000614104906601067,1
ow,pmco,grouped,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,23946.9944334712,23946.9944334712,23946.9944334712,1
ie,pmco,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,839.10959118722,839.10959118722,839.10959118722,1
sea,pmco,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0.000413295132054997,0.000413295132054997,0.000413295132054997,1
ow,pmco,grouped,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,0,0,0,
ie,pmco,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,2.33107019060339,2.33107019060339,2.33107019060339,1
sea,pmco,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,5.35604820951999,5.35604820951999,5.35604820951999,1
ow,pmco,grouped,2015,2024,sec07,G_Shipping,8,Shipping,annual,2.76443284160724,2.76443284160724,2.76443284160724,1
uk,pmco,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
ie,pmco,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
sea,pmco,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
ow,pmco,grouped,2015,2024,sec08,H_Aviation,8,Aviation,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,197.872914634932,197.872914634932,197.872914634932,1
ie,pmco,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,1.84023073889387,1.84023073889387,1.84023073889387,1
sea,pmco,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,53.2995652706699,53.2995652706699,53.2995652706699,1
ow,pmco,grouped,2015,2024,sec09,I_Offroad,8,Offroad,annual,309.27640341206,309.27640341206,309.27640341206,1
uk,pmco,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,389.592126464136,389.592126464136,389.592126464136,1
ie,pmco,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,0.15864125754002,0.15864125754002,0.15864125754002,1
sea,pmco,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,0.00418697571946468,0.00418697571946468,0.00418697571946468,1
ow,pmco,grouped,2015,2024,sec10,J_Waste,9,Waste,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,12601.4462918044,12601.4462918044,12601.4462918044,1
ie,pmco,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,1029.02062423313,1029.02062423313,1029.02062423313,1
sea,pmco,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0.117826825260192,0.117826825260192,0.117826825260192,1
ow,pmco,grouped,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
ie,pmco,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,1118.88959017855,1118.88959017855,1118.88959017855,1
sea,pmco,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0.000244821434188205,0.000244821434188205,0.000244821434188205,1
ow,pmco,grouped,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,0,0,0,
uk,pmco,grouped,2015,2024,sec13,M_Other,11,Other,annual,272.666054871472,272.666054871472,272.666054871472,1
ie,pmco,grouped,2015,2024,sec13,M_Other,11,Other,annual,0,0,0,
