Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_tot_masked,t1,tsum,tot_tres_ratio
uk,terrestrial,sox,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,122478.912021364,122478.912021364,122478.912021364,1
uk,sea,sox,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,2.75378774505255,2.75378774505255,2.75378774505255,1
uk,outwith,sox,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,4084.79461834941,4084.79461834941,4084.79461834941,1
ie,terrestrial,sox,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,5508.72667096538,5508.72667096538,5508.72667096538,1
ie,sea,sox,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
ie,outwith,sox,masked,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec02,B_Industry,3,Industry,annual,82492.4521610825,82492.4521610825,82492.4521610825,1
uk,sea,sox,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0.0664400932095084,0.0664400932095084,0.0664400932095084,1
uk,outwith,sox,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec02,B_Industry,3,Industry,annual,3147.86076970485,3147.86076970485,3147.86076970485,1
ie,sea,sox,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0.0275414807217768,0.0275414807217768,0.0275414807217768,1
ie,outwith,sox,masked,2015,2024,sec02,B_Industry,3,Industry,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,37514.8062110796,37514.8062110796,37514.8062110796,1
uk,sea,sox,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.0212447576437361,0.0212447576437361,0.0212447576437361,1
uk,outwith,sox,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,7710.51594875528,7710.51594875528,7710.51594875528,1
ie,sea,sox,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0.168128542247802,0.168128542247802,0.168128542247802,1
ie,outwith,sox,masked,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,sea,sox,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,outwith,sox,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0.54,0.54,0.54,1
ie,terrestrial,sox,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,sea,sox,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
ie,outwith,sox,masked,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,0,0,0,
uk,terrestrial,sox,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,823.65304334132,823.65304334132,823.65304334132,1
uk,sea,sox,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0.000509413623013924,0.000509413623013924,0.000509413623013924,1
uk,outwith,sox,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0,0,0,
ie,terrestrial,sox,masked,2015,2024,sec05,E_Solvents,6,Solvents,annual,0.0877886216000023,0.0877886216000023,0.0877886216000023,1
