Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,voc,inventory,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,588.980629605181,1998.7515448616,2587.73217446678,6046.91512144186,6046.91512144182
ie,all,voc,inventory,2015,2024,sec01,A_PublicPower,1,PublicPower,annual,287.192119037733,,287.192119037733,257.320210118439,257.320210118439
uk,all,voc,inventory,2015,2024,sec02,B_Industry,3,Industry,annual,38032.8171342447,117544.656470935,155577.473605179,147041.117370874,147041.11737088
ie,all,voc,inventory,2015,2024,sec02,B_Industry,3,Industry,annual,32305.9526782961,,32305.9526782961,23269.036526786,23269.0365267854
uk,all,voc,inventory,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,26770.2320443879,647.21,27417.4420443879,26753.8820520213,26753.8820520215
ie,all,voc,inventory,2015,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,8277.58514654097,,8277.58514654097,12203.3769256033,12203.3769256034
uk,all,voc,inventory,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,43050.2730483116,62015.1861300621,105065.459178372,85154.0124317023,85154.0124317023
ie,all,voc,inventory,2015,2024,sec04,D_Fugitive,5,Fugitive,annual,3758.11697596312,,3758.11697596312,5054.99960962339,5054.99960962339
uk,all,voc,inventory,2015,2024,sec05,E_Solvents,6,Solvents,annual,273551.401717376,19861.9311018288,293413.332819205,333618.475393468,333618.475393476
ie,all,voc,inventory,2015,2024,sec05,E_Solvents,6,Solvents,annual,18928.5019540916,,18928.5019540916,17970.5136994984,17970.513699498
uk,all,voc,inventory,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,30259.4736121383,,30259.4736121383,54326.0943537273,54326.0943537272
ie,all,voc,inventory,2015,2024,sec06,F_RoadTransport,7,RoadTransport,annual,3501.31952589507,,3501.31952589507,7924.07227779884,7924.0722777989
uk,all,voc,inventory,2015,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,voc,inventory,2015,2024,sec07,G_Shipping,8,Shipping,annual,241.914593789587,,241.914593789587,120.963038723032,120.963038723033
uk,all,voc,inventory,2015,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,voc,inventory,2015,2024,sec08,H_Aviation,8,Aviation,annual,169.47589953826,,169.47589953826,146.044762121535,146.044762121535
uk,all,voc,inventory,2015,2024,sec09,I_Offroad,8,Offroad,annual,32292.2539058132,,32292.2539058132,38258.3562364978,38258.3562364959
ie,all,voc,inventory,2015,2024,sec09,I_Offroad,8,Offroad,annual,407.203144959228,,407.203144959228,439.258872273991,439.258872274024
uk,all,voc,inventory,2015,2024,sec10,J_Waste,9,Waste,annual,8681.14587723329,7.99231399999998,8689.13819123333,37723.8705177011,37723.8705177017
ie,all,voc,inventory,2015,2024,sec10,J_Waste,9,Waste,annual,501.413777623435,,501.413777623435,551.96116863434,551.961168634342
uk,all,voc,inventory,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,132438.125161698,,132438.125161698,120415.762915821,120415.762915821
ie,all,voc,inventory,2015,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,40721.2308372838,,40721.2308372838,38304.7769393636,38304.7769393642
uk,all,voc,inventory,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,voc,inventory,2015,2024,sec12,L_AgriOther,10,AgriOther,annual,4695.87581819708,,4695.87581819708,4601.82319822584,4601.82319822586
uk,all,voc,inventory,2015,2024,sec13,M_Other,11,Other,annual,92925.135292474,,92925.135292474,94252.3880082078,94252.3880082061
ie,all,voc,inventory,2015,2024,sec13,M_Other,11,Other,annual,,,,0,0
