Area,mask,Pollutant,data_source,emis_y,inv_y,sec_EMEP,sec_GNFR,sec_SNAP,sec_long,time_res,emis_t_diffmap,emis_t_pt,emis_t_inv_spatial,emis_t_inv_table,emis_t_spatial_scaled
uk,all,pmco,inventory,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,16.7844890903492,447.562983448584,464.347472538933,445.49835550762,445.498355507618
ie,all,pmco,inventory,2020,2024,sec01,A_PublicPower,1,PublicPower,annual,122.317906602984,,122.317906602984,99.595501806461,99.595501806461
uk,all,pmco,inventory,2020,2024,sec02,B_Industry,3,Industry,annual,34650.438734111,2826.85498406913,37477.29371818,33320.9289805579,33320.9289805574
ie,all,pmco,inventory,2020,2024,sec02,B_Industry,3,Industry,annual,6905.55459202893,,6905.55459202893,6833.14108271769,6833.14108271772
uk,all,pmco,inventory,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,578.674782467697,223.341301730681,802.016084198378,603.718914220401,603.718914220389
ie,all,pmco,inventory,2020,2024,sec03,C_OtherStationaryComb,2,OtherStationaryComb,annual,146.369365970124,,146.369365970124,45.3602271274704,45.3602271274702
uk,all,pmco,inventory,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,26.5822923369706,,26.5822923369706,68.5696524884641,68.5696524884641
ie,all,pmco,inventory,2020,2024,sec04,D_Fugitive,5,Fugitive,annual,115.749376773834,,115.749376773834,12.3037598322756,12.3037598322756
uk,all,pmco,inventory,2020,2024,sec05,E_Solvents,6,Solvents,annual,936.757731377156,,936.757731377156,687.05813007942,687.058130079421
ie,all,pmco,inventory,2020,2024,sec05,E_Solvents,6,Solvents,annual,13.3393741877499,,13.3393741877499,13.983547743,13.9835477430002
uk,all,pmco,inventory,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,8700.75655089092,,8700.75655089092,20016.9228276363,20016.9228276357
ie,all,pmco,inventory,2020,2024,sec06,F_RoadTransport,7,RoadTransport,annual,740.229044531377,,740.229044531377,752.62924298082,752.629242980818
uk,all,pmco,inventory,2020,2024,sec07,G_Shipping,8,Shipping,annual,,,,0,0
ie,all,pmco,inventory,2020,2024,sec07,G_Shipping,8,Shipping,annual,8.63979818258935,,8.63979818258935,16.3765968289094,16.3765968289083
uk,all,pmco,inventory,2020,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
ie,all,pmco,inventory,2020,2024,sec08,H_Aviation,8,Aviation,annual,,,,0,0
uk,all,pmco,inventory,2020,2024,sec09,I_Offroad,8,Offroad,annual,290.22847113769,,290.22847113769,296.62611702515,296.626117025138
ie,all,pmco,inventory,2020,2024,sec09,I_Offroad,8,Offroad,annual,3.62279275263977,,3.62279275263977,2.14636420118299,2.14636420118291
uk,all,pmco,inventory,2020,2024,sec10,J_Waste,9,Waste,annual,393.460321198013,0.01,393.470321198013,375.22797868813,375.227978688136
ie,all,pmco,inventory,2020,2024,sec10,J_Waste,9,Waste,annual,0.10228126451193,,0.10228126451193,0.0949658346000035,0.0949658346000007
uk,all,pmco,inventory,2020,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,12835.8921931679,,12835.8921931679,12703.5201897973,12703.5201897969
ie,all,pmco,inventory,2020,2024,sec11,K_AgriLivestock,10,AgriLivestock,annual,999.425907509089,,999.425907509089,1151.46694134147,1151.46694134149
uk,all,pmco,inventory,2020,2024,sec12,L_AgriOther,10,AgriOther,annual,,,,0,0
ie,all,pmco,inventory,2020,2024,sec12,L_AgriOther,10,AgriOther,annual,6877.07000523955,,6877.07000523955,1030.531,1030.53100000001
uk,all,pmco,inventory,2020,2024,sec13,M_Other,11,Other,annual,190.711090315535,,190.711090315535,207.01319285834,207.01319285834
ie,all,pmco,inventory,2020,2024,sec13,M_Other,11,Other,annual,,,,0,0
