Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,sec_num,sec_name,emis_t_tot_ncoutput,t1,tsum,tot_tres_ratio
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec01,A_PublicPower,409.730897421311,409.730897421311,409.730897421311,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec02,B_Industry,33312.4195962422,33312.4195962422,33312.4195962422,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,603.717470293235,603.717470293235,603.717470293235,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec04,D_Fugitive,68.5696529597044,68.5696529597044,68.5696529597044,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec05,E_Solvents,687.057728043532,687.057728043532,687.057728043532,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec06,F_RoadTransport,20016.9224791701,20016.9224791701,20016.9224791701,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec07,G_Shipping,0,0,0,
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec09,I_Offroad,104.83750465141,104.83750465141,104.83750465141,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec10,J_Waste,375.223946076807,375.223946076807,375.223946076807,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec11,K_AgriLivestock,12703.4014098125,12703.4014098125,12703.4014098125,1
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec12,L_AgriOther,0,0,0,
GB,27,pmco,NetCDF_output,2020,2024,allISO,annual,sec13,M_Other,207.013128621274,207.013128621274,207.013128621274,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec01,A_PublicPower,99.5954991712351,99.5954991712351,99.5954991712351,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec02,B_Industry,6833.13571562467,6833.13571562467,6833.13571562467,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,45.3565816144275,45.3565816144275,45.3565816144275,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec04,D_Fugitive,12.3037602007389,12.3037602007389,12.3037602007389,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec05,E_Solvents,13.9835477362424,13.9835477362424,13.9835477362424,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec06,F_RoadTransport,752.629243524897,752.629243524897,752.629243524897,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec07,G_Shipping,3.65256753009661,3.65256753009661,3.65256753009661,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec09,I_Offroad,1.62988736127169,1.62988736127169,1.62988736127169,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec10,J_Waste,0.0949658341733929,0.0949658341733929,0.0949658341733929,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec11,K_AgriLivestock,1151.46694068797,1151.46694068797,1151.46694068797,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec12,L_AgriOther,1030.53077461499,1030.53077461499,1030.53077461499,1
IE,14,pmco,NetCDF_output,2020,2024,allISO,annual,sec13,M_Other,0,0,0,
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec01,A_PublicPower,0.297765245309392,0.297765245309392,0.297765245309392,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec02,B_Industry,8.51272751949396,8.51272751949396,8.51272751949396,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec03,C_OtherStationaryComb,0.00509506194618137,0.00509506194618137,0.00509506194618137,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec04,D_Fugitive,0,0,0,
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec05,E_Solvents,0.000402324928472808,0.000402324928472808,0.000402324928472808,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec06,F_RoadTransport,0.000345467002401623,0.000345467002401623,0.000345467002401623,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec07,G_Shipping,8.39242329271913,8.39242329271913,8.39242329271913,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec08,H_Aviation,0,0,0,
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec09,I_Offroad,28.2790455923155,28.2790455923155,28.2790455923155,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec10,J_Waste,0.00403255975727745,0.00403255975727745,0.00403255975727745,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec11,K_AgriLivestock,0.118780131625385,0.118780131625385,0.118780131625385,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec12,L_AgriOther,0.000225487866032381,0.000225487866032381,0.000225487866032381,1
SEA,171,pmco,NetCDF_output,2020,2024,allISO,annual,sec13,M_Other,6.56127421052588e-05,6.56127421052588e-05,6.56127421052588e-05,1
