Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec01_annual,sec01,A_PublicPower,48476.160123576,48476.1601235771,48476.160123576,48476.160123576,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec02_annual,sec02,B_Industry,279939.590166792,279939.590166787,279939.590166792,279939.590166792,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec03_annual,sec03,C_OtherStationaryComb,249620.41044267,249620.410442663,249620.41044267,249620.41044267,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec04_annual,sec04,D_Fugitive,0,0,0,0,
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec05_annual,sec05,E_Solvents,1869.835268924,1869.83526892405,1869.835268924,1869.835268924,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec06_annual,sec06,F_RoadTransport,216050.633558501,216050.6335585,216050.633558501,216050.633558501,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec09_annual,sec09,I_Offroad,436369.314107324,436369.314107317,436369.314107324,436369.314107324,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec10_annual,sec10,J_Waste,26613.7509344033,26613.7509344036,26613.7509344033,26613.7509344033,1
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec11_annual,sec11,K_AgriLivestock,0,0,0,0,
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,co,NetCDF_input,2021,2024,allISO,annual,uk_co_sec13_annual,sec13,M_Other,49531.842273512,49531.8422735126,49531.842273512,49531.842273512,1
IE,14,co,NetCDF_input,2021,2024,allISO,annual,ie_co_sec01_annual,sec01,A_PublicPower,12649.1845385745,12649.1845385745,12649.1845385745,12649.1845385745,1
IE,14,co,NetCDF_input,2021,2024,allISO,annual,ie_co_sec02_annual,sec02,B_Industry,8985.69712103249,8985.6971210325,8985.69712103249,8985.69712103249,1
IE,14,co,NetCDF_input,2021,2024,allISO,annual,ie_co_sec03_annual,sec03,C_OtherStationaryComb,81333.6941992661,81333.6941992645,81333.6941992661,81333.6941992661,1
IE,14,co,NetCDF_input,2021,2024,allISO,annual,ie_co_sec04_annual,sec04,D_Fugitive,0,0,0,0,
IE,14,co,NetCDF_input,2021,2024,allISO,annual,ie_co_sec05_annual,sec05,E_Solvents,192.181209804649,192.18120980465,192.181209804649,192.181209804649,1
IE,14,co,NetCDF_input,2021,2024,allISO,annual,ie_co_sec06_annual,sec06,F_RoadTransport,15319.033611262,15319.0336112621,15319.033611262,15319.033611262,1
