Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec01_annual,sec01,A_PublicPower,1506.05937122499,1506.05937122498,1506.05937122499,1506.05937122499,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec02_annual,sec02,B_Industry,15482.7116987579,15482.711698758,15482.7116987579,15482.7116987579,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec03_annual,sec03,C_OtherStationaryComb,21519.6706712013,21519.6706712015,21519.6706712013,21519.6706712013,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec04_annual,sec04,D_Fugitive,7.66907500701226,7.66907500701226,7.66907500701226,7.66907500701226,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec05_annual,sec05,E_Solvents,1505.91788651643,1505.91788651637,1505.91788651643,1505.91788651643,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec06_annual,sec06,F_RoadTransport,17019.0031007342,17019.0031007337,17019.0031007342,17019.0031007342,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec09_annual,sec09,I_Offroad,3264.83246988735,3264.83246988724,3264.83246988735,3264.83246988735,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec10_annual,sec10,J_Waste,5240.09103773979,5240.0910377399,5240.09103773979,5240.09103773979,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec11_annual,sec11,K_AgriLivestock,2796.03630720427,2796.03630720421,2796.03630720427,2796.03630720427,1
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,pm25,NetCDF_input,2021,2024,allISO,annual,uk_pm25_sec13_annual,sec13,M_Other,2211.68369132714,2211.68369132716,2211.68369132714,2211.68369132714,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec01_annual,sec01,A_PublicPower,535.163459385828,535.163459385828,535.163459385828,535.163459385828,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec02_annual,sec02,B_Industry,2392.74104921178,2392.74104921178,2392.74104921178,2392.74104921178,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec03_annual,sec03,C_OtherStationaryComb,6684.37748639986,6684.37748639999,6684.37748639986,6684.37748639986,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec04_annual,sec04,D_Fugitive,1.58275274186252,1.58275274186252,1.58275274186252,1.58275274186252,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec05_annual,sec05,E_Solvents,126.340546382541,126.34054638254,126.340546382541,126.340546382541,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec06_annual,sec06,F_RoadTransport,1209.92140260313,1209.92140260314,1209.92140260313,1209.92140260313,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec07_annual,sec07,G_Shipping,22.2102887103019,22.2102887103018,22.2102887103019,22.2102887103019,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec08_annual,sec08,H_Aviation,3.91681217004854,3.91681217004855,3.91681217004854,3.91681217004854,1
IE,14,pm25,NetCDF_input,2021,2024,allISO,annual,ie_pm25_sec09_annual,sec09,I_Offroad,123.288452993733,123.288452993731,123.288452993733,123.288452993733,1
