Year,Pollutant,Region,GNFR,SNAP,EMEP_Sector,sec_long,long_name,Data_source,ISO,layer_name,t1,ann_emis_kt
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,AL,voc_AL_sector=1,0,0
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,AL,voc_AL_sector=2,1703.6375003507,1.7036375003507
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,AL,voc_AL_sector=3,7456.10115611526,7.45610115611526
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,AL,voc_AL_sector=4,503.061107615849,0.503061107615849
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,AL,voc_AL_sector=5,9751.67098268183,9.75167098268183
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,AL,voc_AL_sector=6,1389.9125404102,1.3899125404102
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,AL,voc_AL_sector=7,468.378854833131,0.468378854833131
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,AL,voc_AL_sector=8,15.1460293923368,0.0151460293923368
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,AL,voc_AL_sector=9,407.833911087735,0.407833911087735
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,AL,voc_AL_sector=10,1465.57999987267,1.46557999987267
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,AL,voc_AL_sector=11,5616.7499997594,5.6167499997594
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,AL,voc_AL_sector=12,1196.35200013973,1.19635200013973
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,AL,voc_AL_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,AM,voc_AM_sector=1,48.7982799455181,0.0487982799455181
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,AM,voc_AM_sector=2,12.3377006189831,0.0123377006189831
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,AM,voc_AM_sector=3,13808.7150001356,13.8087150001356
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,AM,voc_AM_sector=4,445.173973558356,0.445173973558356
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,AM,voc_AM_sector=5,11779.1639214582,11.7791639214582
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,AM,voc_AM_sector=6,3708.49496875488,3.70849496875488
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,AM,voc_AM_sector=7,0,0
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,AM,voc_AM_sector=8,212.924833310922,0.212924833310922
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,AM,voc_AM_sector=9,19.3139570145589,0.0193139570145589
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,AM,voc_AM_sector=10,601.558000032677,0.601558000032677
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,AM,voc_AM_sector=11,4854.77399986815,4.85477399986815
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,AM,voc_AM_sector=12,2755.92000037138,2.75592000037138
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,AM,voc_AM_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,AST,voc_AST_sector=1,47316.0022002748,47.3160022002748
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,AST,voc_AST_sector=2,272572.497563487,272.572497563487
2022,voc,eu,C_OtherStationaryComb,2,3,sec03,OtherStationaryComb,EMEP_processed,AST,voc_AST_sector=3,1433562.79127763,1433.56279127763
2022,voc,eu,D_Fugitive,5,4,sec04,Fugitive,EMEP_processed,AST,voc_AST_sector=4,1721309.80415316,1721.30980415317
2022,voc,eu,E_Solvents,6,5,sec05,Solvents,EMEP_processed,AST,voc_AST_sector=5,1379856.87887105,1379.85687887105
2022,voc,eu,F_RoadTransport,7,6,sec06,RoadTransport,EMEP_processed,AST,voc_AST_sector=6,565293.631545068,565.293631545068
2022,voc,eu,G_Shipping,8,7,sec07,Shipping,EMEP_processed,AST,voc_AST_sector=7,642.154026561621,0.642154026561621
2022,voc,eu,H_Aviation,8,8,sec08,Aviation,EMEP_processed,AST,voc_AST_sector=8,177.515511806054,0.177515511806054
2022,voc,eu,I_Offroad,8,9,sec09,Offroad,EMEP_processed,AST,voc_AST_sector=9,3843.73700534502,3.84373700534502
2022,voc,eu,J_Waste,9,10,sec10,Waste,EMEP_processed,AST,voc_AST_sector=10,78678.1518107192,78.6781518107193
2022,voc,eu,K_AgriLivestock,10,11,sec11,AgriLivestock,EMEP_processed,AST,voc_AST_sector=11,352863.768759379,352.863768759379
2022,voc,eu,L_AgriOther,10,12,sec12,AgriOther,EMEP_processed,AST,voc_AST_sector=12,273472.048031683,273.472048031683
2022,voc,eu,M_Other,11,13,sec13,Other,EMEP_processed,AST,voc_AST_sector=13,0,0
2022,voc,eu,A_PublicPower,1,1,sec01,PublicPower,EMEP_processed,AT,voc_AT_sector=1,306.687865732764,0.306687865732764
2022,voc,eu,B_Industry,3,2,sec02,Industry,EMEP_processed,AT,voc_AT_sector=2,4783.747716707,4.783747716707
