Area,iso_code,Pollutant,data_source,emis_y,inv_y,agg,time_res,layer_name,sec_num,sec_name,emis_t_tot_ncinput,emis_t_tot_array,t1,tsum,tot_tres_ratio
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec01_annual,sec01,A_PublicPower,1400.22130959156,1400.22130959158,1400.22130959156,1400.22130959156,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec02_annual,sec02,B_Industry,15587.4121526832,15587.4121526835,15587.4121526832,15587.4121526832,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec03_annual,sec03,C_OtherStationaryComb,20666.9076943049,20666.9076943042,20666.9076943049,20666.9076943049,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec04_annual,sec04,D_Fugitive,4.7238250042808,4.7238250042808,4.7238250042808,4.7238250042808,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec05_annual,sec05,E_Solvents,1761.6816432233,1761.68164322328,1761.6816432233,1761.6816432233,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec06_annual,sec06,F_RoadTransport,17872.5115031143,17872.5115031142,17872.5115031143,17872.5115031143,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec07_annual,sec07,G_Shipping,0,0,0,0,
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec08_annual,sec08,H_Aviation,0,0,0,0,
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec09_annual,sec09,I_Offroad,3192.27955658317,3192.27955658314,3192.27955658317,3192.27955658317,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec10_annual,sec10,J_Waste,4822.62752221057,4822.62752221037,4822.62752221057,4822.62752221057,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec11_annual,sec11,K_AgriLivestock,2745.03439810244,2745.03439810238,2745.03439810244,2745.03439810244,1
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec12_annual,sec12,L_AgriOther,0,0,0,0,
GB,27,pm25,NetCDF_input,2022,2024,allISO,annual,uk_pm25_sec13_annual,sec13,M_Other,2240.92841576427,2240.92841576424,2240.92841576427,2240.92841576427,1
IE,14,pm25,NetCDF_input,2022,2024,allISO,annual,ie_pm25_sec01_annual,sec01,A_PublicPower,435.587153530186,435.587153530186,435.587153530186,435.587153530186,1
IE,14,pm25,NetCDF_input,2022,2024,allISO,annual,ie_pm25_sec02_annual,sec02,B_Industry,2345.84874965362,2345.84874965359,2345.84874965362,2345.84874965362,1
IE,14,pm25,NetCDF_input,2022,2024,allISO,annual,ie_pm25_sec03_annual,sec03,C_OtherStationaryComb,5269.50516167942,5269.5051616794,5269.50516167942,5269.50516167942,1
IE,14,pm25,NetCDF_input,2022,2024,allISO,annual,ie_pm25_sec04_annual,sec04,D_Fugitive,1.53376145695631,1.53376145695631,1.53376145695631,1.53376145695631,1
IE,14,pm25,NetCDF_input,2022,2024,allISO,annual,ie_pm25_sec05_annual,sec05,E_Solvents,126.741923481578,126.74192348158,126.741923481578,126.741923481578,1
